"X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","signed_log10FDR.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","signed_log10FDR.y"
"Fcho1",0.419905079788327,0.0304984906965435,0.027,0.025,0,0.524672700564128,-0.000852450704836194,0.026,0.025,0
"Fcho2",0.141977542884798,-0.177233447235475,0.111,0.118,0,7.67693443308913e-05,-0.362912283136217,0.1,0.118,0
"Fchsd1",0.873310458240885,0.0368400175703698,0.001,0.001,0,0.883093525119028,-0.121382895851058,0.001,0.001,0
"Fchsd2",0.159937747772525,0.0492592768244382,0.081,0.074,0,0.634363406199031,-0.119167199441824,0.073,0.074,0
"Fcmr",0.323553878712171,-0.96315998242963,0,0,0,0.262625106945568,-1.32783377331848,0,0,0
"Fcna",0.0482957803778221,-2.77051490448723,0,0.001,0,0.025039956647823,-3.13518869537609,0,0.001,0
"Fcnb",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Fcor",0.0312393498030106,2.15231723499031,0.001,0,0,0.00298982541710448,2.40913182084772,0.002,0,0
"Fcrl1",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Fcrl5",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Fcrla",0.323553878712171,-0.96315998242963,0,0,0,0.872133563904587,-0.327833773318485,0,0,0
"Fcrlb",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Fcrls",0.152046682378643,2.35876811245773,0,0,0,1,-0.327833773318485,0,0,0
"Fcsk",0.0337616295658471,0.127442566351277,0.055,0.047,0,0.000645099991536541,0.218774919500597,0.059,0.047,0
"Fdft1",0.0138573286891697,0.160290589213182,0.087,0.076,0,0.00190172474772103,0.161152336185598,0.089,0.076,0
"Fdps",6.38804572233597e-09,0.497813801016073,0.083,0.059,3.97857169814342,3.53248120797564e-09,0.441025156637058,0.082,0.059,4.2358598539014
"Fdx1",1.2084131840663e-06,0.552032239987352,0.04,0.026,1.70172425919689,2.23673486473266e-08,0.640870096191978,0.042,0.026,3.43432520678302
"Fdx2",0.0041187737644991,0.272014618943173,0.043,0.034,0,5.32921849901374e-06,0.436309081917821,0.048,0.034,1.05727618731115
"Fdxacb1",0.874286308329984,-0.0291575412038707,0.026,0.026,0,0.092155679321112,-0.363457683049205,0.022,0.026,0
"Fdxr",0.657663250946876,-0.0643722337879282,0.042,0.04,0,0.334159038739134,-0.00668783894954217,0.044,0.04,0
"Fech",0.35846658147621,-0.0773568364962771,0.07,0.073,0,0.670144967027405,0.00416018553046094,0.075,0.073,0
"Fem1a",0.121537672741942,0.0368400175703703,0.078,0.071,0,0.183524927463791,-0.240241373894568,0.066,0.071,0
"Fem1b",0.000217570263578001,0.177273722303283,0.157,0.135,0,8.71087175134753e-09,0.267843753088293,0.167,0.135,3.84387809433269
"Fem1c",0.332456996869152,0.0260601788171284,0.049,0.045,0,0.110670110239159,0.0426697604320569,0.05,0.045,0
"Fen1",0.0773169302304557,0.146949774488053,0.039,0.033,0,0.000121443478594122,0.350238131794153,0.045,0.033,0
"Fer",0.0160461652670595,-0.23640397192722,0.125,0.137,0,0.000125255966034165,-0.348545278085127,0.119,0.137,0
"Fer1l4",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Fer1l5",1,0.0368400175703698,0,0,0,0.372134749522318,0.672166226681515,0,0,0
"Ferd3l",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Fermt1",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Fermt2",0.0311308203210121,0.157225558211367,0.077,0.068,0,0.0329513827204818,0.0740178658658279,0.077,0.068,0
"Fermt3",0.125463904735184,0.814447596233922,0.003,0.001,0,0.589489652083333,0.388373260680925,0.002,0.001,0
"Fes",0.560526365107583,0.0368400175703716,0.001,0.001,0,0.00508336133451874,1.07071560317179,0.003,0.001,0
"Fetub",0.323553878712171,-0.96315998242963,0,0,0,0.262625106945568,-1.32783377331848,0,0,0
"Fev",1,0.0368400175703698,0,0,0,0.372134749522318,1.25712872740267,0,0,0
"Fez1",8.77947888363815e-07,1.59977621196153,0.008,0.002,1.84047097546881,6.38361955787331e-11,2.21273460804422,0.01,0.002,5.97887271744465
"Fez2",0.00262487766097147,0.326346634765356,0.044,0.034,0,0.000716715079671882,0.360222220366776,0.044,0.034,0
"Fezf1",0.63417169941942,0.621802518291526,0,0,0,0.43636702846297,-1.32783377331848,0,0,0
"Fezf2",0.0793711204857552,2.03684001757037,0,0,0,0.0030640649042132,3.47952114873912,0.001,0,0
"Ffar1",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Ffar2",0.311195202016953,1.03684001757037,0,0,0,1,-0.327833773318485,0,0,0
"Ffar4",0.323553878712171,-0.96315998242963,0,0,0,0.701112599586812,0.257128727402671,0,0,0
