"X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","signed_log10FDR.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","signed_log10FDR.y"
"Ift43",0.63478324211369,0.0825442364281432,0.103,0.09,0,0.146524813715652,0.505393746055363,0.131,0.09,0
"Ift46",0.840440708818258,-0.0380092183918541,0.101,0.096,0,0.828565307494959,-0.266977184242042,0.091,0.096,0
"Ift52",0.667842150448908,-0.136573052875444,0.11,0.096,0,0.144370331581078,0.387710725794189,0.14,0.096,0
"Ift57",0.24800872045854,-0.7215355535966,0.075,0.101,0,0.695834694603672,-0.100809902239964,0.114,0.101,0
"Ift74",0.0813997903123403,-0.488701385538505,0.189,0.245,0,0.0014595654409214,-0.738017140057201,0.142,0.245,0
"Ift80",0.0454027042188557,0.735322121376871,0.142,0.085,0,0.994399775738401,0.0732827334175776,0.085,0.085,0
"Ift81",0.499364876351018,-0.15712043027953,0.219,0.245,0,0.225078190921567,-0.279577221021676,0.201,0.245,0
"Ift88",0.100723121338604,-0.306498054317756,0.075,0.117,0,0.358905997161105,-0.331107521661758,0.093,0.117,0
"Igbp1",0.865150533853925,0.108539444961087,0.142,0.138,0,0.610868199712405,0.0225294329529424,0.121,0.138,0
"Igdcc3",0.510289073755983,0.500856867739848,0.011,0.005,0,0.521021419275114,0.476247400395846,0.011,0.005,0
"Igdcc4",0.752404795478551,-0.247604365264188,0.047,0.053,0,0.926336690680423,-0.00917942677439587,0.055,0.053,0
"Igf1",0.554978488679931,0.138286788355139,0.054,0.043,0,0.987095036282756,-0.50103252310407,0.042,0.043,0
"Igf1r",0.698369130028793,-0.0869316770600717,0.308,0.282,0,0.81807588160878,-0.137227788067723,0.277,0.282,0
"Igf2",0.3199009950172,-0.508131915487407,0.073,0.096,0,0.471016700590769,0.145330522281229,0.116,0.096,0
"Igf2bp1",0.369442027981191,0.2784644464034,0.004,0,0,0.274972738959452,0.990820573225605,0.006,0,0
"Igf2bp2",0.0492027950461439,1.01543004056961,0.049,0.016,0,0.470822268313702,0.0474041015919715,0.025,0.016,0
"Igf2bp3",1,-1.30649805431776,0,0,0,0.373525822849022,0.668892478338242,0.004,0,0
"Igf2r",0.177999906452335,0.581027216423831,0.077,0.048,0,0.777941090641177,0.253854979059398,0.053,0.048,0
"Igfals",0.527083349334328,-0.306498054317756,0.002,0,0,0.373525822849022,0.253854979059398,0.004,0,0
"Igfbp1",0.369442027981191,0.2784644464034,0.004,0,0,0.373525822849022,0.253854979059398,0.004,0,0
"Igfbp2",0.271109534948109,0.725923423374621,0.071,0.048,0,0.634864086418752,0.209460859700945,0.057,0.048,0
"Igfbp3",1,-1.30649805431776,0,0,0,0.27497310683066,0.668892478338242,0.006,0,0
"Igfbp4",0.00412613232417034,0.102892881819946,0.14,0.059,0,0.00325465740148866,0.369332196479335,0.142,0.059,0
"Igfbp5",0.41674598628949,-0.171568474231647,0.183,0.154,0,0.555786537771648,0.244394649810332,0.171,0.154,0
"Igfbp6",0.933054715375921,-0.306498054317756,0.015,0.016,0,0.659784494985362,0.476247400395846,0.021,0.016,0
"Igfbp7",0.12795470853662,-0.69644457263377,0.084,0.122,0,0.698404459037384,-0.293632816243095,0.112,0.122,0
"Igfbpl1",0.369442027981191,1.50085686773985,0.004,0,0,0.20691859514969,1.47624740039585,0.008,0,0
"Igflr1",0.540997482785309,-0.199582850401245,0.052,0.064,0,0.750464610710051,-0.0773509294159749,0.057,0.064,0
"Igfn1",0.872480516026945,0.0154300405696066,0.034,0.032,0,0.882659826825963,-0.00917942677439498,0.03,0.032,0
"Igha",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Ighd",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Ighg2b",1,-1.30649805431776,0,0,0,0.530598125263707,-0.331107521661758,0.002,0,0
"Ighg2c",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Ighm",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Ighmbp2",0.733179175361938,-0.0841056329813084,0.067,0.074,0,0.0706418062412465,-0.778566498632979,0.04,0.074,0
"Igip",0.799465016546452,-0.0725408813483863,0.275,0.282,0,0.0382010936300102,-0.503574717666524,0.209,0.282,0
"Igkc",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Igkv13-85",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Igkv8-30",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Igkv9-124",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Iglc1",1,-1.30649805431776,0,0,0,0.530598125263707,0.253854979059398,0.002,0,0
"Iglc2",1,-1.30649805431776,0,0,0,0.530598125263707,0.253854979059398,0.002,0,0
"Iglc3",0.527083349334328,-0.306498054317756,0.002,0,0,1,-1.33110752166176,0,0,0
"Igll1",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Iglon5",0.909469845512362,-0.146420838831791,0.361,0.356,0,0.0139411285742662,-0.562113073302914,0.262,0.356,0
"Igsf1",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Igsf10",0.239021006282959,0.863426947124556,0.017,0.005,0,0.878454311776038,-0.00917942677439498,0.006,0.005,0
"Igsf11",0.549585147500271,-0.306498054317756,0.219,0.239,0,0.752076688466192,-0.265018331203986,0.23,0.239,0
"Igsf21",0.0619325314041256,0.452493846178448,0.166,0.106,0,0.129041814298376,0.411396256045878,0.152,0.106,0
"Igsf23",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Igsf3",0.720764576292054,-0.7215355535966,0.017,0.021,0,0.880349931301625,-0.10871510032531,0.023,0.021,0
"Igsf5",1,-1.30649805431776,0,0,0,0.530598125263707,-0.331107521661758,0.002,0,0
"Igsf6",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Igsf8",0.00248774561145877,0.522771644168289,0.34,0.213,0,0.376545533138897,0.279390071166536,0.243,0.213,0
"Igsf9",0.744244311916352,-0.168994530567822,0.183,0.191,0,0.430049583666518,-0.283801806883401,0.167,0.191,0
"Igsf9b",0.075691113121312,0.555998421932309,0.148,0.096,0,0.146039060793678,0.45738837314453,0.137,0.096,0
"Igtp",0.00640623310567442,-3.30649805431776,0,0.016,0,0.117013281402509,-1.7461450209406,0.004,0.016,0
"Ihh",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Iigp1",0.116572494009861,-2.30649805431776,0,0.005,0,0.501858055962275,-0.746145020940602,0.002,0.005,0
"Ik",0.0795425912168281,-0.372731752717843,0.284,0.351,0,0.0783185051052122,-0.173566244675278,0.266,0.351,0
"Ikbip",0.313002406714747,-0.512948931785183,0.054,0.074,0,0.201113306288796,-0.483110615106808,0.049,0.074,0
"Ikbkb",0.124098485354355,0.409708979681652,0.09,0.053,0,0.355291203908256,0.219089560898722,0.074,0.053,0
"Ikbke",0.664347876908698,0.0154300405696066,0.009,0.005,0,0.853849279572663,-0.331107521661758,0.004,0.005,0
"Ikbkg",0.579332178354982,0.2784644464034,0.11,0.096,0,0.968506844250788,0.278945960022229,0.095,0.096,0
"Ikzf1",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Ikzf2",0.479844635937713,-0.232497472873979,0.082,0.064,0,0.956608298449136,-0.221483030487259,0.066,0.064,0
"Ikzf3",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Ikzf4",0.774147511484232,0.0154300405696066,0.037,0.032,0,0.348290033300798,0.369332196479334,0.049,0.032,0
"Ikzf5",0.583461155357597,-0.508990918216499,0.135,0.149,0,0.649660320457584,-0.456638403745616,0.137,0.149,0
"Il10",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
