"X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","signed_log10FDR.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","signed_log10FDR.y"
"Spdye4b",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Specc1",0.434549428007622,-0.284453389468699,0.016,0,0,0.369398177973647,0.167944637314072,0.021,0,0
"Specc1l",0.91066226911534,0.0151068923902085,0.311,0.308,0,0.8219213636753,-0.0544477840223763,0.28,0.308,0
"Speer3",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Speer4a",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Speer4c",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Speer4e",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spef1",0.801771876729675,-0.699490888747544,0.042,0.051,0,0.567955203749208,-1.05444778402238,0.033,0.051,0
"Spef2",0.526149715782071,-0.699490888747543,0.011,0,0,0.696281760652701,-1.63941028474353,0.004,0,0
"Speg",0.419387684525382,-0.419382969554808,0.221,0.282,0,0.913234022650889,-0.142984458624034,0.3,0.282,0
"Spem1",0.364803905450833,0.0374747054186635,0.021,0,0,0.489937842053108,-0.639410284743532,0.012,0,0
"Spem2",0.673778869346348,-1.2844533894687,0.016,0.026,0,0.0129232021820303,-3.63941028474353,0,0.026,0
"Spen",0.654248867807334,-0.146949865718764,0.311,0.359,0,0.74641269358771,0.111910602399744,0.374,0.359,0
"Spert",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spg11",0.21364135672552,-0.962525294581337,0.068,0.128,0,0.405182813600893,-0.764941166827391,0.086,0.128,0
"Spg20",0.633457678825327,-0.114528388026387,0.042,0.026,0,0.368359710226014,0.360589715256468,0.062,0.026,0
"Spg21",0.799184955261786,-0.436456482913749,0.089,0.103,0,0.741206935095013,0.126124461619445,0.119,0.103,0
"Spg7",0.378467336120569,0.522901532588905,0.126,0.077,0,0.507361341777546,0.360589715256467,0.111,0.077,0
"Sphk1",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Sphk2",0.186752123994191,-1.4770984674111,0.032,0.077,0,0.257920448323578,-1.17997866610624,0.037,0.077,0
"Sphkap",0.215743910800254,0.355274914683348,0.774,0.692,0,0.765730422058164,0.103981578582106,0.724,0.692,0
"Spi1",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spib",0.658892422553708,-1.2844533894687,0.005,0,0,1,-2.63941028474353,0,0,0
"Spic",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spice1",0.0281207752783238,-3.2844533894687,0,0.026,0,0.329018067325474,-2.05444778402238,0.008,0.026,0
"Spidr",0.526149715782071,-0.699490888747543,0.011,0,0,0.423504597966161,-0.31748218985617,0.016,0,0
"Spin1",0.434473890346632,0.347814826030814,0.284,0.231,0,0.511297894975876,0.248114985998055,0.276,0.231,0
"Spin2c",0.658892422553708,-1.2844533894687,0.005,0,0,1,-2.63941028474353,0,0,0
"Spin2d",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spin2e",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spin2f",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spin2g",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spin4",0.658892422553708,-1.2844533894687,0.005,0,0,0.696281760652701,-1.63941028474353,0.004,0,0
"Spindoc",0.924896790153346,-0.547487795302493,0.1,0.103,0,0.79480400786587,-0.224372785464689,0.119,0.103,0
"Spink13",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spink2",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spink4",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spink7",1,-2.2844533894687,0,0,0,0.575282694255921,-1.05444778402238,0.008,0,0
"Spink8",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spint1",1,-2.2844533894687,0,0,0,0.696281760652701,-1.63941028474353,0.004,0,0
"Spint2",0.181422288664712,-1.00434547027596,0.084,0.154,0,0.235746142000789,-0.746325488660045,0.091,0.154,0
"Spire1",0.623144006128128,0.0940582337850304,0.132,0.103,0,0.529308862628328,0.167944637314072,0.14,0.103,0
"Spire2",0.357456403420912,-1.11452838802639,0.042,0.077,0,0.640772092855741,-0.732519689135014,0.058,0.077,0
"Spn",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spns1",0.946472285991033,-0.377562793860181,0.074,0.077,0,0.640772092855741,-0.732519689135014,0.058,0.077,0
"Spns2",0.673778869346348,-1.2844533894687,0.016,0.026,0,0.915071409118305,-0.639410284743532,0.029,0.026,0
"Spns3",1,-2.2844533894687,0,0,0,0.696281760652701,-1.63941028474353,0.004,0,0
"Spo11",1,-2.2844533894687,0,0,0,0.575282694255921,-1.05444778402238,0.008,0,0
