"X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","signed_log10FDR.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","signed_log10FDR.y"
"Abhd3",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abhd4",0.370732271904028,0.858956118544817,0.078,0.041,0,0.662522954406711,0.509013647487858,0.058,0.041,0
"Abhd5",0.0893544402082192,2.12199052437861,0.039,0,0,0.239272455655167,1.50901364748786,0.019,0,0
"Abhd6",0.378658666804138,0.952065522936298,0.059,0.027,0,0.238483409109447,-1.0759488532333,0,0.027,0
"Abhd8",0.520513143110629,-0.462971976342545,0.02,0.041,0,0.647903826744559,0.830941742375221,0.058,0.041,0
"Abi1",0.0791990088413935,-0.685364397678994,0.333,0.473,0,0.127713404724147,-0.520733695906194,0.346,0.473,0
"Abi2",0.363086353028584,1.12199052437861,0.039,0.014,0,0.810070559827278,0.509013647487858,0.019,0.014,0
"Abi3",0.551715897819651,0.405783490379202,0.294,0.257,0,0.260249183866922,0.444883310068142,0.346,0.257,0
"Abi3bp",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abitram",0.0944672366276708,-1.78490007122991,0,0.054,0,0.329902245472803,-0.812914447399504,0.019,0.054,0
"Abl1",0.801237866183654,-0.0479344770637025,0.157,0.176,0,0.109006222688491,-1.0759488532333,0.077,0.176,0
"Abl2",0.942451871819519,0.215099928770091,0.176,0.176,0,0.613222531311537,0.302562770020431,0.212,0.176,0
"Ablim1",0.890051888174057,0.0806497289977109,0.569,0.514,0,0.588004073910365,-0.164176036245034,0.481,0.514,0
"Ablim2",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Ablim3",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abo",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abr",0.317149148093636,0.72967310159985,0.137,0.081,0,0.77300336126797,0.286621226151409,0.096,0.081,0
"Abracl",0.140219267185489,-0.700011173643395,0.235,0.351,0,0.401980965782188,0.271974450187008,0.423,0.351,0
"Abraxas1",0.52485763628984,0.952065522936298,0.098,0.068,0,0.214179721082706,-1.0759488532333,0.019,0.068,0
"Abraxas2",0.567033254911571,-0.293046974900233,0.137,0.176,0,0.958021341841733,-0.0315547338748452,0.173,0.176,0
"Abt1",0.110381743338253,-1.33744109425869,0.039,0.122,0,0.227033413286043,-0.95041797114944,0.058,0.122,0
"Abtb1",0.117748799708939,-1.0479344770637,0.078,0.176,0,0.0502308510184001,-1.39787694812066,0.058,0.176,0
"Abtb2",0.00633558154068139,3.12199052437861,0.098,0,0,1,0.509013647487858,0,0,0
"AC150683.1",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"AC151602.1",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acaa1a",0.798107726235378,-0.047934477063702,0.02,0.027,0,0.238483409109447,-1.0759488532333,0,0.027,0
"Acaa1b",0.234719747406267,1.53702802365745,0.02,0,0,1,0.509013647487858,0,0,0
"Acaa2",0.573626166970862,0.800062429491248,0.078,0.054,0,0.214167954495356,0.994440474658099,0.115,0.054,0
"Acaca",0.666014611850128,-0.369862571951065,0.137,0.162,0,0.720783021580754,0.0615546705166361,0.192,0.162,0
"Acacb",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acad10",0.710857576410364,0.537028023657454,0.039,0.027,0,0.785566138137467,-0.0759488532332986,0.019,0.027,0
"Acad11",0.0944672366276708,-1.78490007122991,0,0.054,0,0.935331843862257,0.187085552600495,0.058,0.054,0
"Acad12",0.234719747406267,1.53702802365745,0.02,0,0,1,0.509013647487858,0,0,0
"Acad8",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acad9",0.872935668303954,0.27399361782366,0.059,0.068,0,0.488436593078027,-0.490986352512142,0.038,0.068,0
"Acadl",0.0363602149618231,0.884951327077761,0.255,0.108,0,0.110473135208579,0.856936950908164,0.212,0.108,0
"Acadm",0.849734751177999,-0.047934477063702,0.059,0.068,0,0.488436593078027,-0.490986352512142,0.038,0.068,0
"Acads",0.201944844519489,1.0224548508277,0.118,0.054,0,0.371631135290758,0.772048053321651,0.096,0.054,0
