"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Acoxl",2.19729775366498e-10,-1.11177665995809,0.024,0.053,7.08189066006223e-06
"Csnk1g2",2.35673718150692e-10,-0.329434051404931,0.281,0.355,7.59576393599681e-06
"Fam117b",2.64596101035753e-10,-0.32299551279518,0.234,0.306,8.52793233638231e-06
"Wdr17",2.6595179532186e-10,0.0569155092751727,0.93,0.926,8.57162636322356e-06
"Pmvk",2.73739286795132e-10,-0.331479216043825,0.3,0.37,8.8226172134071e-06
"Mmp17",3.00886982665826e-10,-0.652261316424917,0.057,0.098,9.69758745131957e-06
"Gabarapl1",3.17816770931135e-10,-0.219919720239997,0.5,0.583,1.02432345271105e-05
"Yy1",3.19224420179669e-10,-0.249832086759529,0.391,0.473,1.02886030623907e-05
"D16Ertd472e",3.41890884980826e-10,-0.246699081033934,0.421,0.507,1.1019143222932e-05
"Cd63",3.50937929510787e-10,-0.531435885113106,0.115,0.167,1.13107294681327e-05
"Uty",3.69377800733843e-10,0.525740109660381,0.238,0.183,1.19050465176518e-05
"Sec22c",3.85526475258397e-10,-0.269812394369618,0.384,0.462,1.24255182975781e-05
"Fam78b",3.94121292077495e-10,-0.259256354418487,0.357,0.436,1.27025292436576e-05
"Prrt1",4.03917135171957e-10,-0.288073264509704,0.265,0.34,1.30182492665922e-05
"Ssbp4",4.04964198925317e-10,-0.300552467111491,0.249,0.325,1.3051996131363e-05
"Zfyve28",4.26150905439488e-10,-0.227136025484694,0.496,0.57,1.37348436823147e-05
"Polr2j",4.46263046282557e-10,-0.324839852113261,0.243,0.313,1.43830579816868e-05
"Chchd10",4.60356704411945e-10,-0.211261547240432,0.51,0.594,1.4837296583197e-05
"Lrrc41",5.05174952982383e-10,-0.35512972166048,0.163,0.226,1.62817887346222e-05
"Slc30a1",5.07922668638731e-10,-0.26992944616314,0.286,0.363,1.63703476102263e-05
"Slc25a4",5.32391726369761e-10,-0.226559450731635,0.463,0.552,1.71589853408974e-05
"Pfkl",5.38054979441152e-10,-0.155998431605142,0.688,0.756,1.73415119873883e-05
"Pja2",5.39476881042982e-10,-0.27048663121498,0.329,0.409,1.73873398760153e-05
"Srf",6.02675269717691e-10,-0.315980657804168,0.224,0.295,1.94242239430012e-05
"Snrnp40",6.26315104878647e-10,-0.295109588562591,0.253,0.328,2.01861358302388e-05
"Zbed3",6.70789552941457e-10,-0.48810465091091,0.114,0.166,2.16195472913032e-05
"Sfr1",7.07187862321697e-10,-0.31253448651585,0.256,0.327,2.27926648026283e-05
"Tmem170b",7.3757834161753e-10,-0.239806439610387,0.355,0.438,2.3772149950333e-05
"Aars",7.59684776552942e-10,-0.216453333350431,0.474,0.559,2.44846403483013e-05
"Qsox1",8.0268081994001e-10,-0.615033961770787,0.071,0.115,2.58704028266665e-05
"Pde8b",8.18569093705839e-10,0.126215625417558,0.76,0.739,2.63824818901392e-05
"Ss18l1",8.7790087903257e-10,-0.344348865454965,0.203,0.269,2.82947453312197e-05
"Egln2",9.06689283293207e-10,-0.36853029132862,0.158,0.219,2.92225956005401e-05
"Mindy2",9.59801825645059e-10,-0.261363932053002,0.353,0.431,3.09344128405402e-05
"Calm3",1.00634080460625e-09,-0.254227988331909,0.339,0.419,3.24343641324594e-05
"Sncg",1.10351466690607e-09,-1.6339367304538,0.01,0.03,3.55662777143828e-05
"Col4a1",1.10615643901569e-09,-0.596837291116997,0.062,0.103,3.56514220294758e-05
"Prtg",1.11644946673145e-09,-0.491136666381144,0.118,0.17,3.59831663127548e-05
"Fbxo24",1.14178527241883e-09,-0.619060719420723,0.09,0.135,3.67997393300588e-05
"Wdfy1",1.15705200962123e-09,-0.331242066685839,0.245,0.311,3.72917862700923e-05
"Zscan29",1.16095530113844e-09,-0.301422923289744,0.27,0.342,3.74175893556919e-05
"Nub1",1.16601992167792e-09,-0.248284552717697,0.353,0.433,3.75808220756792e-05
"Ldha",1.21751050743539e-09,-0.0947926214329976,0.854,0.889,3.92403636546427e-05
"Opa1",1.22111188475816e-09,-0.278772289700516,0.28,0.356,3.93564360457556e-05
"Cacybp",1.22176562102402e-09,-0.308508222065021,0.247,0.316,3.93775059656041e-05
"Elmod1",1.23842590784111e-09,-0.284273427968897,0.305,0.38,3.99144670097191e-05
"Ttll12",1.38462171245075e-09,-0.33330352796541,0.21,0.277,4.46263577922876e-05
"Rbbp9",1.49771436614789e-09,-0.444493734008034,0.118,0.17,4.82713340209465e-05
"Amotl2",1.566148837752e-09,-0.316378268293352,0.242,0.311,5.0476977040747e-05
"Cryab",1.62137442182123e-09,-1.19372885090072,0.023,0.05,5.22568976152981e-05
"Usf2",1.7007029249317e-09,-0.23251348676239,0.454,0.535,5.48136552705488e-05
"Prdm8",1.81304752610569e-09,-0.327928852263332,0.202,0.268,5.84345217663865e-05
"Egflam",1.98746762813728e-09,0.0697306880493093,0.85,0.857,6.40560816548645e-05
"Dusp26",2.00999894157627e-09,-0.347364739010316,0.187,0.248,6.47822658870031e-05
"Cwc15",2.17575809001383e-09,-0.261577035778199,0.32,0.395,7.01246832411459e-05
"Pfkfb3",2.18199321781687e-09,-0.86681161173474,0.037,0.069,7.03256414102377e-05
"Rbm18",2.24265826103724e-09,-0.260746648972713,0.319,0.394,7.22808757532304e-05
"Rnf181",2.40110789929057e-09,-0.227776582137273,0.403,0.487,7.73877075941351e-05
"Ric8b",2.44146548503385e-09,0.0505090191526929,0.913,0.913,7.86884325826411e-05
"Dmxl2",2.48035111533447e-09,0.090904056682446,0.814,0.807,7.99417164472298e-05
"Rragc",2.65491326295679e-09,-0.281875494522854,0.323,0.394,8.55678544650975e-05
"Fam50a",3.22862712471916e-09,-0.331875145785331,0.201,0.264,0.000104058652229698
"Nfil3",3.25764870673571e-09,-0.436191543467652,0.11,0.161,0.000104994017818092
"Jmjd6",3.45286075428198e-09,-0.220074901212483,0.428,0.508,0.000111285702110508
"Aldoc",4.18554166383658e-09,-0.224148436864209,0.423,0.504,0.000134900007825453
