"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dars",0.000500871844797753,-0.388814160838049,0.17,0.234,1
"Gngt1",0.000505591026688466,-0.414301626968262,0.12,0.179,1
"Ankfn1",0.000513913933718303,-0.29110554118574,0.3,0.382,1
"Arid4b",0.000519369896462922,-0.623535324839477,0.095,0.147,1
"Sulf2",0.000522471597067227,-1.03510808296133,0.038,0.074,1
"Dhodh",0.000529057216110754,-0.888536063977556,0.021,0.052,1
"Pafah1b1",0.00054211982424204,-0.386748640425798,0.205,0.271,1
"Aamdc",0.000543851807156154,-0.263928691213721,0.217,0.294,1
"Aldoc",0.000547935747378985,-0.282397564407336,0.375,0.452,1
"Pgk1",0.000549100320027938,-0.251555797613385,0.371,0.452,1
"Cetn3",0.000557783774080064,-0.307072954341514,0.167,0.234,1
"Sorl1",0.000565657227284155,-0.20595232000214,0.503,0.588,1
"Padi2",0.00057045818149321,-0.29129983052132,0.347,0.425,1
"Slc16a8",0.000572557260309573,-0.121517590428254,0.837,0.9,1
"Folr1",0.000573744795616842,-0.233938581460934,0.373,0.47,1
"Enho",0.000574541149825384,-0.919734195957697,0.029,0.061,1
"Pno1",0.00057887365763635,-0.516129856892325,0.104,0.157,1
"Vit",0.000581319460172458,-0.178619210013347,0.604,0.679,1
"Ptbp1",0.000608559406473595,-0.29504232649622,0.275,0.353,1
"Hsp90b1",0.000613081438050733,-0.199531050862438,0.594,0.664,1
"Bcat1",0.000615760773405545,-0.372014839413074,0.229,0.297,1
"Lpin2",0.000616130045090895,-0.444855674938464,0.15,0.211,1
"Nebl",0.000622914260373408,-0.587108132121128,0.049,0.089,1
"Gnb3",0.00062603837186297,-1.32547988438119,0.019,0.047,1
"Uqcr10",0.000628494078360838,-0.274159323336335,0.243,0.323,1
"Guca1b",0.000630519233903279,-0.74416645539919,0.042,0.079,1
"Atpaf2",0.000638050217914741,-0.717736589714467,0.032,0.067,1
"Chp1",0.000639177179695038,-0.385398961775887,0.17,0.235,1
"Gpr180",0.000641256821241999,-0.377010304944899,0.2,0.268,1
"Slc38a10",0.000641441006428841,-0.294097956369,0.267,0.344,1
"Ankrd40",0.000649952087674749,-0.280580395250188,0.319,0.397,1
"Paip1",0.000659148951152915,-0.319420047099773,0.236,0.309,1
"Ier3ip1",0.00066318188086746,-0.48853289544949,0.116,0.17,1
"St6gal1",0.000667553904903471,-0.338218900288376,0.192,0.26,1
"Yaf2",0.00067882902853112,-0.497783446716667,0.103,0.155,1
"Cfap97",0.000689535536360454,-0.884727603661571,0.036,0.07,1
"Fbxw4",0.000699427403098986,-0.449325719746476,0.157,0.217,1
"Btf3l4",0.00070169843017704,-0.499572307766855,0.083,0.133,1
"Ppia",0.000702094797916518,-0.380604709408933,0.151,0.213,1
"Sik3",0.0007070218847245,-0.539625875192538,0.104,0.156,1
"Metrn",0.000710911408308142,-0.236325359886126,0.43,0.516,1
