_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-2.638129219053945,GO:0019319,M1,1,0,GO Biological Processes,19,hexose biosynthetic process,19_GO:0009987 cellular process,-2.638129219053945,11.45021645021645,5.368618984282473,21160,56,99,3,3.0303030303030303,1.7228340715604882,11676|14751|17449,Aldoc|Gpi1|Mdh1,-0.30227838853414674,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.510363526735719,GO:0019362,M1,1,0,GO Biological Processes,19,pyridine nucleotide metabolic process,19_GO:0009987 cellular process,-2.510363526735719,6.67929292929293,4.418599512450343,21160,128,99,4,4.040404040404041,1.9789690695126556,11676|14751|17449|21351,Aldoc|Gpi1|Mdh1|Taldo1,-0.2528254153831981,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.510363526735719,GO:0046496,M1,1,0,GO Biological Processes,19,nicotinamide nucleotide metabolic process,19_GO:0009987 cellular process,-2.510363526735719,6.67929292929293,4.418599512450343,21160,128,99,4,4.040404040404041,1.9789690695126556,11676|14751|17449|21351,Aldoc|Gpi1|Mdh1|Taldo1,-0.2528254153831981,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.5016554995848383,GO:1901136,M1,1,0,GO Biological Processes,19,carbohydrate derivative catabolic process,19_GO:0009987 cellular process,-2.5016554995848383,5.064866676241083,4.0684741177106005,21160,211,99,5,5.05050505050505,2.200878850596578,11676|14667|14751|17155|71665,Aldoc|Gm2a|Gpi1|Man1a|Fuca1,-0.2528254153831981,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.4922611826304855,GO:0046031,M1,1,0,GO Biological Processes,19,ADP metabolic process,19_GO:0009987 cellular process,-2.4922611826304855,10.17797017797018,5.001868133096627,21160,63,99,3,3.0303030303030303,1.7228340715604882,11637|11676|14751,Ak2|Aldoc|Gpi1,-0.2528254153831981,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.4728740678544967,GO:0046364,M1,1,0,GO Biological Processes,19,monosaccharide biosynthetic process,19_GO:0009987 cellular process,-2.4728740678544967,10.018939393939394,4.954171876915603,21160,64,99,3,3.0303030303030303,1.7228340715604882,11676|14751|17449,Aldoc|Gpi1|Mdh1,-0.2428567542283152,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.4166414532996017,mmu00010,M1,1,0,KEGG Pathway,24,Glycolysis / Gluconeogenesis - Mus musculus (house mouse),,-2.4166414532996017,9.570330167345093,4.817164206913618,21160,67,99,3,3.0303030303030303,1.7228340715604882,11669|11676|14751,Aldh2|Aldoc|Gpi1,-0.20163935848589878,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.3935729992827826,GO:0072524,M1,1,0,GO Biological Processes,19,pyridine-containing compound metabolic process,19_GO:0009987 cellular process,-2.3935729992827826,6.1952861952861955,4.197954011513149,21160,138,99,4,4.040404040404041,1.9789690695126556,11676|14751|17449|21351,Aldoc|Gpi1|Mdh1|Taldo1,-0.1872423561934762,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.3631020574836885,GO:0009135,M1,1,0,GO Biological Processes,19,purine nucleoside diphosphate metabolic process,19_GO:0009987 cellular process,-2.3631020574836885,9.16017316017316,4.68852004715808,21160,70,99,3,3.0303030303030303,1.7228340715604882,11637|11676|14751,Ak2|Aldoc|Gpi1,-0.17624976779023113,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.3631020574836885,GO:0009179,M1,1,0,GO Biological Processes,19,purine ribonucleoside diphosphate metabolic process,19_GO:0009987 cellular process,-2.3631020574836885,9.16017316017316,4.68852004715808,21160,70,99,3,3.0303030303030303,1.7228340715604882,11637|11676|14751,Ak2|Aldoc|Gpi1,-0.17624976779023113,0,2,0,0,-6.970569848902889,18.859180035650624,
