"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"Abcd2",0.002,0.009,0.009,0.017,1.40125128442541,0.0131810918637998,1,1.40636806452419,0.00781306529383419,1,2.15453969419218,1.45543889128013e-05,0.23936148005993
"Abcd3",0.243,0.272,0.309,0.287,0.108161804020554,0.0714331129538983,1,0.27378955515377,6.25776171926739e-06,0.102915149235072,0.159638119839512,0.00425831964704399,1
"Abcd4",0.016,0.016,0.021,0.019,-0.0324018930207792,0.835412996963228,1,0.334738387543158,0.254053957431521,1,0.166714408138278,0.533499872271032,1
"Abce1",0.053,0.053,0.062,0.055,0.0982906941788579,0.961459891786825,1,0.247453843894341,0.217349533557401,1,0.109948364110854,0.824600548623115,1
"Abcf1",0.064,0.073,0.069,0.064,0.230258806026599,0.240354594890287,1,0.108893013361364,0.496157759320928,1,0.0792515668879377,0.900172473671692,1
"Abcf2",0.071,0.087,0.078,0.083,0.143533942500323,0.0797044457559331,1,-0.0562530286708487,0.473447284534633,1,0.0451897308143048,0.196639638648894,1
"Abcf3",0.039,0.054,0.049,0.053,0.566269442905491,0.0265509373160063,1,0.30188317500154,0.104939552904826,1,0.428585819115952,0.038099004385992,1
"Abcg1",0,0,0.005,0.011,-0.491833511658077,1,1,3.53565108146915,0.00380070782627964,1,4.28870493251689,2.79903789253296e-05,0.460329771805971
"Abcg2",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,-0.920748433112063,1,1
"Abcg3",0,0,0,0.001,-0.491833511658077,1,1,-1.10820510830557,1,1,0.664214067609093,0.304118383374333,1
"Abcg4",0,0,0.016,0.017,0.508166488341923,0.399360093624678,1,5.06171989313674,1.83118569588852e-07,0.00301156799545827,5.2085345838329,7.8359575205089e-08,0.00128870157382289
"Abcg5",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,-0.920748433112063,1,1
"Abcg8",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,-0.920748433112063,1,1
"Abhd10",0.066,0.063,0.058,0.056,-0.0884778174268686,0.703956831522627,1,-0.242222456277258,0.244725537229555,1,-0.160699225832815,0.169280183991181,1
"Abhd11",0.039,0.059,0.047,0.06,0.480510145439058,0.00616351710348511,1,0.165442971553075,0.222049198717629,1,0.543655143487761,0.00232517006552338,1
"Abhd12",0.174,0.175,0.197,0.191,0.00305019960572839,0.89190833504033,1,0.0188623540075672,0.0968438289109385,1,0.0550665575424119,0.197532916301974,1
"Abhd13",0.053,0.067,0.07,0.064,0.434165906898146,0.0594732122973775,1,0.366879774643213,0.0181095083717635,1,0.261943864404128,0.107921261450558,1
"Abhd14a",0.034,0.026,0.032,0.028,-0.16560527933709,0.173602635291073,1,0.0924922419315575,0.743453096393104,1,-0.231950121406366,0.319690830196446,1
"Abhd14b",0.217,0.269,0.296,0.27,0.315521410399527,0.000177006090980443,1,0.475720601109096,1.98815538444087e-09,3.26972034525146e-05,0.298086168811196,6.39816512923424e-05,1
"Abhd15",0,0.001,0,0,1.09312898906308,0.233118240491287,1,-1.10820510830557,1,1,0.0792515668879368,0.467621948241451,1
"Abhd16a",0.095,0.101,0.107,0.108,0.0444798263553627,0.580036102072178,1,0.0692535658221494,0.237585884829379,1,0.0942797761202696,0.194256320727903,1
