"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"Abcg2",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Abcg3",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Abcg4",0.339,0.251,0.268,0.313,-0.409443815422713,0.0350258036758201,1,-0.394181711227564,0.0545150516593222,1,-0.125882493535842,0.491523341251854,1
"Abcg5",0,0,0.003,0.003,0.142198612098417,1,1,0.823723319116571,0.348583828675758,1,0.517552409904779,0.399243489639243,1
"Abcg8",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Abhd10",0.144,0.1,0.147,0.124,-0.460465890356199,0.122949345548354,1,0.138596656469982,0.880170411625657,1,-0.112079140150107,0.479976633850537,1
"Abhd11",0.123,0.06,0.07,0.083,-1.14320360676383,0.0116978660500246,1,-0.938116943688665,0.0272130747563058,1,-0.558396443328521,0.0900273244304394,1
"Abhd12",0.13,0.151,0.182,0.199,0.24407822611763,0.471723364078367,1,0.532260504956259,0.0793465961770911,1,0.586265159988792,0.0208288538812806,1
"Abhd13",0.094,0.088,0.089,0.114,-0.179729482788946,0.787115592925785,1,-0.17627668088343,0.831627500761595,1,0.165250665973897,0.430476909432035,1
"Abhd14a",0.35,0.386,0.425,0.398,0.118351870144049,0.418765664910209,1,0.259308195799499,0.0741779946369355,1,0.0625485033082895,0.357372702007885,1
"Abhd14b",0.152,0.127,0.15,0.119,-0.164462726135636,0.449240565337453,1,0.127115462566505,0.979481671970689,1,-0.364611099801364,0.218331258214202,1
"Abhd15",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Abhd16a",0.173,0.163,0.179,0.121,-0.00365225436503858,0.785726322856133,1,0.0540209385383643,0.851567536835838,1,-0.427999806072846,0.0630917129074919,1
"Abhd17a",0.195,0.299,0.268,0.256,0.767350202935271,0.00377492589578844,1,0.510935878085676,0.0319645202490053,1,0.429325226893043,0.0613182821620873,1
