"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"Abhd17b",0.197,0.149,0.161,0.15,-0.251721270063291,0.224357080153618,1,-0.27173263615708,0.277243423846979,1,-0.262394771577743,0.172129572538917,1
"Abhd17c",0.043,0.079,0.049,0.053,0.66191211528882,0.137620565821569,1,0.0154300405696057,0.714611767344071,1,0.204945378578452,0.584444871222372,1
"Abhd18",0.181,0.139,0.088,0.072,-0.351550144517743,0.268756177757918,1,-1.06257247143167,0.000803537526406645,1,-1.25710694021798,3.6828167654527e-05,0.605676045246351
"Abhd2",0.128,0.104,0.095,0.078,-0.219099848494094,0.47896138034707,1,-0.225578058934189,0.232182703484089,1,-0.572115621165553,0.0510034466259936,1
"Abhd3",0.027,0.03,0.047,0.03,0.118769790262291,0.854506698069707,1,0.632101401018101,0.229369333194023,1,-0.00917942677439498,0.835649126744561,1
"Abhd4",0.064,0.064,0.08,0.127,-0.103622631074157,0.994928276900475,1,0.2784644464034,0.486695413476791,1,1.10946506972422,0.0174241340268421,1
"Abhd5",0.053,0.045,0.049,0.023,-0.366657036907951,0.685468134918466,1,-0.191020836897821,0.843035846490177,1,-1.10871510032531,0.0487644694773762,1
"Abhd6",0.059,0.069,0.058,0.044,-0.00408695752324295,0.686501901829546,1,-0.255871981247788,0.963507321429541,1,-0.553499942998206,0.439213403152235,1
"Abhd8",0.367,0.356,0.396,0.387,-0.199837946333461,0.63560392349073,1,-0.0642971519011282,0.754199845463219,1,0.0722481725694506,0.603555052683786,1
"Abi1",0.191,0.178,0.17,0.19,-0.277652030849206,0.683671130240195,1,-0.290196241988656,0.50399169786764,1,-0.0626186857358557,0.989176617867176,1
"Abi2",0.298,0.332,0.286,0.285,0.0183678933044529,0.5779376153491,1,-0.214051805553162,0.634758027059011,1,-0.0698422086810198,0.785640221505248,1
"Abi3",0,0.005,0.013,0.021,0.896377368925843,0.337260175825304,1,1.69350194568224,0.118261768367465,1,2.2538549790594,0.0448250658486839,1
"Abi3bp",0.011,0,0,0.004,-2.10362263107416,0.143146180965866,1,-3.30649805431776,0.0261852160855335,1,-1.7461450209406,0.33726306454424,1
"Abitram",0.043,0.02,0.024,0.027,-1.10362263107416,0.192634021999683,1,-1.04346364848396,0.190964435096067,1,-0.65303561654912,0.320830142978543,1
"Abl1",0.096,0.109,0.11,0.116,0.159411774759636,0.672081971959269,1,0.12646135295835,0.60516565574068,1,0.277701721013766,0.439500454315754,1
"Abl2",0.106,0.099,0.125,0.114,-0.23486716435241,0.785015872308412,1,0.100677327188117,0.533645565550048,1,0.145330522281229,0.758311816800591,1
"Ablim1",0.362,0.485,0.344,0.342,0.369130366060974,0.0420360804158508,1,-0.11385297637536,0.535734239313372,1,-0.197624516187506,0.548146452047128,1
"Ablim2",0.037,0.05,0.056,0.051,0.0338808926757777,0.571712683236659,1,0.371573850794881,0.331119765784212,1,0.253854979059398,0.47080191482638,1
"Ablim3",0.037,0.025,0.017,0.027,-0.840588225240364,0.467977646086132,1,-1.45850114776281,0.119001995268229,1,-0.565572775298781,0.507542077730474,1
"Abo",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Abr",0.218,0.272,0.209,0.186,0.326061644169088,0.212434642681241,1,-0.101028936017777,0.756635374663218,1,-0.164457652252307,0.387685298521742,1
"Abracl",0.005,0.005,0.002,0.015,-0.688585131795314,0.959433386292863,1,-1.89146055503891,0.507351443416358,1,0.0839299776170854,0.319601700663037,1
"Abraxas1",0.059,0.035,0.043,0.047,-0.80406234921525,0.259349794359766,1,-0.547506153821551,0.396643133433067,1,-0.331107521661758,0.527862097937762,1
"Abraxas2",0.074,0.064,0.065,0.053,-0.203158304625072,0.695640734053282,1,-0.2591923395394,0.646887428868482,1,-0.430643195212673,0.295099798272394,1
"Abt1",0.053,0.02,0.03,0.04,-1.24112615482409,0.0772240824459971,1,-0.678466831704714,0.160439098718796,1,-0.331107521661758,0.469374022036402,1
"Abtb1",0.085,0.213,0.163,0.116,1.20449966428817,0.000591681646386964,1,0.641034525788108,0.0120979161292637,1,0.253854979059399,0.262724957448469,1
"Abtb2",0.021,0.015,0.009,0.002,-0.688585131795313,0.630632122817703,1,-1.56953246015155,0.181652307301989,1,-2.91607002238291,0.0103693521427889,1
"AC150683.1",0,0.005,0.002,0.006,0.896377368925843,0.337260175825304,1,-0.306498054317756,0.527083349334328,1,0.990820573225605,0.274972738959452,1
"AC151602.1",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Acaa1a",0.043,0.035,0.056,0.036,-0.103622631074157,0.694560954381149,1,0.381557939367504,0.481320420572967,1,-0.253105009660485,0.692417748792534,1
"Acaa1b",0,0,0.004,0,-0.103622631074157,1,1,0.2784644464034,0.369442027981191,1,-1.33110752166176,1,1
"Acaa2",0.043,0.02,0.026,0.025,-1.36665703690795,0.188586004940043,1,-0.984569959430394,0.255054849328353,1,-1.21563030424182,0.234365071685126,1
"Acaca",0.309,0.322,0.288,0.254,-0.122731454021862,0.961229927789476,1,-0.259804818869715,0.460261065475462,1,-0.399125945090409,0.12133008395217,1
"Acacb",0.005,0.005,0.002,0.008,-0.103622631074157,0.962328764661774,1,-1.30649805431776,0.50888554753872,1,0.253854979059398,0.674712545757999,1
"Acad10",0.016,0.045,0.03,0.023,1.21830546381321,0.103057396476853,1,0.600392541290763,0.304684128764051,1,0.476247400395846,0.553859626820583,1
"Acad11",0.112,0.089,0.08,0.087,-0.315126736267869,0.459319436372647,1,-0.444001578067691,0.19855207745739,1,-0.266977184242042,0.3294071063736,1
"Acad12",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Acad8",0.117,0.139,0.114,0.146,0.218305463813205,0.528135805405446,1,-0.0088175056770714,0.924360977891936,1,0.387710725794189,0.308693837615807,1
"Acad9",0.122,0.089,0.084,0.085,-0.27354763251647,0.293316359016145,1,-0.703833551863142,0.119059474031916,1,-0.594141927495552,0.130758556110842,1
"Acadl",0.027,0,0.022,0.032,-2.91097755313176,0.0199385219121971,1,-0.654421357738063,0.68857874638599,1,-0.138462443719362,0.738364019037425,1
"Acadm",0.043,0.035,0.045,0.057,-0.273547632516469,0.686665336064564,1,-0.0169914371227708,0.884172987623238,1,0.453163787282806,0.444108838047338,1
