"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"Rassf4",0.015,0.066,0,0.064,1.7094848577441,0.0440872893504873,1,-0.022026306329999,0.414642350618033,1,1.88281646062966,0.0878089436979161,1
"Rassf5",0.008,0.019,0.023,0.043,0.879409859186412,0.449826775120221,1,1.56293619439116,0.425451921627468,1,2.05274146207197,0.115309204821264,1
"Rassf6",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rassf7",0,0,0,0.021,0.294447358465255,1,1,1.56293619439116,1,1,2.46777896135082,0.0988767717947155,1
"Rassf8",0.069,0.075,0.205,0.149,0.168916476381396,0.852362181496426,1,1.4374053123073,0.012235383279545,1,1.78970705623818,0.0884599720567623,1
"Rassf9",0,0.009,0,0,1.29444735846525,0.271804039396671,1,1.56293619439116,1,1,1.46777896135082,1,1
"Raver2",0,0,0.023,0.021,0.294447358465255,1,1,2.56293619439116,0.0880719637411242,1,2.46777896135082,0.0988767717947155,1
"Rax",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rb1",0.1,0.104,0.205,0.17,0.0143394392725198,0.950406390841105,1,0.934904971778115,0.0799622133660021,1,0.839747738737775,0.202954940127374,1
"Rb1cc1",0.046,0.151,0.182,0.234,1.73501994985124,0.00563841448416559,1,2.21501289097085,0.00384510977148872,1,2.56731463490173,0.000163460289967318,1
"Rbak",0.008,0.028,0.045,0.064,1.29444735846525,0.225085890172404,1,2.14789869511231,0.0987864905901208,1,2.46777896135082,0.0273598846775794,1
"Rbbp4",0.323,0.33,0.364,0.255,-0.0425876288123155,0.994386579238543,1,0.437405312307298,0.496790221022069,1,-0.21029294376182,0.42139428115734,1
"Rbbp5",0.054,0.028,0.205,0.043,-0.705552641534745,0.335100596066177,1,2.02236781302845,0.00268656492591277,1,0.0527414620719733,0.766718218779067,1
"Rbbp6",0.2,0.226,0.205,0.213,0.201337954073774,0.655229473433755,1,-0.115135710721481,0.964313945129559,1,0.275133883408421,0.803367727372803,1
"Rbbp7",0.423,0.377,0.364,0.34,-0.120590140813589,0.520907379151508,1,-0.349600964358504,0.364983044263155,1,-0.139903615870423,0.389473054805668,1
"Rbbp8",0.023,0.066,0.068,0,1.29444735846526,0.104597591734899,1,1.56293619439116,0.159286050005778,1,-0.532221038649183,0.298366187537877,1
"Rbbp9",0.1,0.104,0.045,0.149,0.0720549371288071,0.925751534595234,1,-0.659456226945291,0.268725585858226,1,0.660424039293213,0.367891008692543,1
"Rbck1",0.115,0.113,0.091,0.128,-0.00511292339365266,0.959890836028162,1,-0.115135710721481,0.656709689704716,1,0.275133883408421,0.826767452912297,1
"Rbfa",0.108,0.075,0.068,0.17,-0.442518235700951,0.399905592956184,1,-0.343954401217361,0.449597303370578,1,0.882816460629661,0.251134881691742,1
"Rbfox1",0,0.019,0,0,1.87940985918641,0.117948284328474,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rbfox2",0.638,0.528,0.409,0.383,-0.187945408615353,0.181998418633836,1,-0.421956913218634,0.0369881085832196,1,-0.401636928839038,0.0317588886861319,1
"Rbfox3",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rbks",0,0.009,0.023,0.085,1.29444735846525,0.271804039396671,1,2.56293619439116,0.0880719637411242,1,3.78970705623818,0.000813310647649868,1
"Rbl1",0.054,0.047,0.045,0.021,0.101802280522859,0.832452128069156,1,0.147898695112313,0.832098576467866,1,-0.532221038649183,0.360922543047439,1
"Rbl2",0.092,0.123,0.068,0.149,0.401362562381767,0.454327793043721,1,-0.137503523749935,0.62610955251493,1,0.767339243209725,0.286243333906137,1
"Rbm10",0.008,0.019,0.045,0.106,0.879409859186412,0.449826775120221,1,2.14789869511231,0.0987864905901208,1,3.05274146207197,0.00142692148116739,1
"Rbm11",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rbm12b1",0.023,0.009,0.023,0.064,-0.705552641534745,0.422785015149804,1,0.562936194391157,0.994679276122822,1,1.46777896135082,0.188912716633153,1
"Rbm12b2",0.038,0.038,0.182,0.213,0.0314129526314613,0.9792603829517,1,2.14789869511231,0.00186949991336653,1,2.46777896135082,0.000233571428922308,1
"Rbm14",0.092,0.17,0.227,0.277,0.841935153767748,0.0772223834836337,1,1.44745897697122,0.0185794210791035,1,1.76733924320972,0.00157354808355099,1
"Rbm15",0.146,0.057,0.159,0.191,-1.42175967553415,0.0245860662965647,1,0.361302333221507,0.801196650620117,1,0.403648623931101,0.482108014091277,1
"Rbm15b",0.046,0.066,0.159,0.128,0.487092436407651,0.508109015815413,1,1.92550627377587,0.0133548522028476,1,1.46777896135082,0.0582102951910581,1
"Rbm17",0.115,0.104,0.318,0.213,-0.253040436837238,0.754634507900301,1,1.31500868094757,0.00244661355634562,1,0.679283066544529,0.120921699527749,1
"Rbm18",0.092,0.057,0.068,0.128,-0.598637437618233,0.306534240753946,1,-0.137503523749935,0.62610955251493,1,0.574694165267329,0.496007303959001,1
"Rbm19",0.023,0.009,0.023,0.043,-0.705552641534745,0.422785015149804,1,0.562936194391157,0.994679276122822,1,1.05274146207197,0.494715400222777,1
"Rbm20",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rbm22",0.146,0.179,0.114,0.128,0.294447358465256,0.495548554657432,1,-0.174029399775049,0.593158215761683,1,-0.0467942114789412,0.758708162428332,1
"Rbm24",0.169,0.038,0.045,0.128,-2.13851204881085,0.0012838741199234,1,-0.870023212884949,0.0461535264084046,1,-0.117183539370339,0.51708988904983,1
"Rbm25",0.1,0.075,0.295,0.128,-0.383624546647382,0.508977960008655,1,1.56293619439116,0.00177095455829968,1,0.275133883408421,0.62914058944877,1
"Rbm26",0.108,0.113,0.227,0.255,0.294447358465256,0.855626035799006,1,1.11547721741994,0.0485584233400525,1,1.46777896135082,0.0119329753507337,1
"Rbm27",0.054,0.075,0.114,0.128,0.464372359907567,0.500850379258565,1,1.37029111644876,0.169948075251444,1,1.27513388340842,0.0984368011920732,1
"Rbm28",0.108,0.085,0.091,0.128,-0.2905151422559,0.559918214275446,1,-0.022026306329999,0.755675331494657,1,0.368243287799903,0.71465522796534,1
"Rbm3",0.354,0.321,0.409,0.191,-0.277458989430455,0.484652259931497,1,0.366538981587654,0.398444066562744,1,-0.99165265728648,0.0302364370122737,1
"Rbm33",0.046,0.123,0.227,0.17,1.39398303201617,0.0312881912915212,1,2.34054377305471,0.000318559360450748,1,1.98235213418058,0.0067238493896072,1
"Rbm34",0.008,0.019,0.068,0.043,0.879409859186412,0.449826775120221,1,2.56293619439116,0.0214106972580924,1,2.05274146207197,0.115309204821264,1
"Rbm38",0.077,0.028,0.023,0.021,-1.16498426017204,0.104859697164838,1,-0.89649542424614,0.204726966827104,1,-0.991652657286481,0.178457902468823,1
"Rbm39",0.162,0.198,0.25,0.404,0.355847903129399,0.448982910271998,1,0.624336739055301,0.202776617010419,1,1.4036486239311,0.000576119113600496,1
"Rbm4",0.062,0.151,0.182,0.234,1.21198519827328,0.0244880933581901,1,1.71493928783621,0.0162491123859502,1,1.9982936780496,0.00101789028481092,1
"Rbm41",0.031,0.019,0.045,0.043,-0.442518235700951,0.566683915367882,1,0.825970600224951,0.64942958323094,1,0.730813367184611,0.706821064836075,1
"Rbm42",0.262,0.16,0.432,0.234,-0.821029858954681,0.0499970859562195,1,0.669851398307669,0.0443924878858496,1,-0.0102683354538271,0.754030918252844,1
"Rbm43",0.015,0.009,0.068,0.149,-0.290515142255901,0.689098692690624,1,1.97797369367,0.0717745392279336,1,2.88281646062966,0.000377001235702243,1
"Rbm44",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rbm45",0.123,0.066,0.136,0.149,-0.793015482785084,0.143723746184644,1,0.282828275198422,0.822078882418653,1,0.55024112154279,0.621903935046556,1
"Rbm46",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rbm47",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rbm48",0.015,0,0.045,0.064,-1.2905151422559,0.202772074949703,1,1.56293619439116,0.254149457009387,1,1.88281646062966,0.0878089436979161,1
"Rbm4b",0.046,0.104,0.091,0.106,0.879409859186411,0.0942466221537436,1,0.884864289278519,0.281156053188899,1,1.05274146207197,0.150564538013604,1
"Rbm5",0.192,0.255,0.364,0.468,0.343356958946202,0.270272295618771,1,0.874880200705898,0.024814626251365,1,1.36468546838671,0.00020925566612024,1
"Rbm6",0.1,0.094,0.182,0.234,0.0720549371288071,0.904972348469588,1,0.925506273775865,0.153040838583339,1,1.24538654001437,0.022430265847685,1
"Rbm7",0.069,0.123,0.159,0.34,0.835015739827958,0.159252374663725,1,1.27342957719617,0.0750077647763347,1,2.40066476549228,4.11000843428992e-06,0.067593198710332
"Rbm8a",0.015,0.057,0.114,0.191,1.5168397798017,0.0830271206134255,1,2.56293619439116,0.00433450381609584,1,3.20474455551702,1.98330811356278e-05,0.326174852356535
"Rbm8a2",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rbms1",0.715,0.745,0.523,0.511,-0.207212495561339,0.404523712533697,1,-0.552541023028779,0.0286153072992929,1,-0.692092375427572,0.00495544190672365,1
"Rbms2",0.531,0.396,0.341,0.298,-0.553549548089695,0.0201887975757628,1,-0.528986295049882,0.0339827553536933,1,-0.872071041533808,0.00503812981335101,1
"Rbms3",0.431,0.387,0.159,0.277,-0.0775214189217024,0.629329213789351,1,-1.31153292352498,0.00141390628414544,1,-0.406690156565324,0.111010136947104,1
"Rbmx",0.077,0.075,0.364,0.213,0.15694383471532,0.985033157717436,1,2.27342957719617,3.82257547033836e-06,0.0628660761851847,1.70878706085461,0.0101761826708147,1
"Rbmx2",0.023,0,0.045,0.043,-1.70555264153475,0.117409650112539,1,1.14789869511231,0.447434755352989,1,1.46777896135082,0.483781030109063,1
"Rbmxl1",0.038,0.028,0.023,0,-0.290515142255901,0.670880870043954,1,-0.022026306329999,0.625964870071434,1,-1.11718353937034,0.175709878349265,1
"Rbp1",0.008,0.047,0,0.106,2.87940985918641,0.054957805710491,1,0.562936194391157,0.569659985366665,1,4.16821867949191,0.00132537446438062,1
