p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,pct.1_pct.2,pct_method_1
6.13985931958138e-20,0.368082376538402,0.899,0.763,1.97887665870108e-15,3,Mab21l1,0.136,0.122264
6.46181550111888e-20,1.1345451920829,0.268,0.115,2.08264313601061e-15,3,P3h3,0.153,0.041004
1.20980787813874e-19,0.600226239923338,0.701,0.464,3.89921079124116e-15,3,Cnnm4,0.237,0.166137
1.37655288864234e-19,1.00286487480866,0.332,0.159,4.43662996009426e-15,3,Nin,0.173,0.057436
1.99526540084828e-19,0.658010978825138,0.64,0.42,6.43074038693401e-15,3,Shroom2,0.22,0.1408
3.03690579184082e-19,0.695585415560287,0.598,0.382,9.78794736710295e-15,3,Ppm1h,0.216,0.129168
3.63452469672884e-19,0.505662166413637,0.781,0.582,1.1714073097557e-14,3,Mmd,0.199,0.155419
4.27943899308688e-19,0.906358182715123,0.412,0.221,1.3792631874719e-14,3,Helb,0.191,0.078692
6.32168167930751e-19,0.730396714163038,0.558,0.345,2.03747800524081e-14,3,Rbm18,0.213,0.118854
9.96656951553423e-19,0.953877078589197,0.376,0.199,3.21222535485668e-14,3,Limch1,0.177,0.066552
1.32723916748087e-18,0.661092057665969,0.614,0.386,4.27769183679084e-14,3,Bpgm,0.228,0.139992
2.11070370054826e-18,0.87022907286771,0.421,0.229,6.80279802686706e-14,3,Setdb2,0.192,0.080832
2.19902306564072e-18,0.651147971749261,0.638,0.428,7.08745134056003e-14,3,Ppard,0.21,0.13398
4.38328627749345e-18,0.432979274858682,0.819,0.666,1.41273316723614e-13,3,Sncb,0.153,0.125307
5.48019495199253e-18,0.96027234927817,0.36,0.187,1.76626683302719e-13,3,Gclm,0.173,0.06228
5.72535433629775e-18,0.275258004444805,0.958,0.844,1.84528170258877e-13,3,Anp32e,0.114,0.109212
6.60448192073876e-18,0.673359838869662,0.605,0.406,2.1286245230541e-13,3,Snx25,0.199,0.120395
1.12582558460333e-17,0.419332025129963,0.835,0.674,3.62853585917652e-13,3,Podxl,0.161,0.134435
1.24464073182409e-17,0.887820017269644,0.407,0.225,4.01147707866905e-13,3,St3gal4,0.182,0.074074
1.38777946307941e-17,0.9564246422555,0.346,0.178,4.47281320950494e-13,3,Amacr,0.168,0.058128
1.80332768269141e-17,0.774576042271019,0.48,0.283,5.8121251213144e-13,3,Tmem165,0.197,0.09456
2.58364157134007e-17,0.937935634311161,0.318,0.156,8.32707678442903e-13,3,Vegfa,0.162,0.051516
3.13265547782405e-17,1.17569771489068,0.271,0.128,1.00965486050269e-12,3,Rbpms2,0.143,0.038753
3.22107559817147e-17,1.21622014869307,0.287,0.142,1.03815266529066e-12,3,St6galnac5,0.145,0.041615
3.41638827552183e-17,0.641387202880112,0.64,0.434,1.10110194120068e-12,3,Lamp2,0.206,0.13184
4.58085262470686e-17,0.974036472421718,0.325,0.165,1.47640880094302e-12,3,Mocs1,0.16,0.052
6.05957304678865e-17,0.630165369775279,0.619,0.412,1.95300039297998e-12,3,Ptpn2,0.207,0.128133
6.68216327216991e-17,0.366298697405962,0.859,0.714,2.15366122262036e-12,3,Gdpd5,0.145,0.124555
1.33434095995082e-16,0.984213186160935,0.351,0.19,4.30058091392148e-12,3,Nfe2l2,0.161,0.056511
1.36528364682028e-16,0.878735537430878,0.348,0.182,4.40030919370175e-12,3,Nav1,0.166,0.057768
2.43625725457171e-16,0.647766629080345,0.588,0.389,7.85205713148462e-12,3,Eif1a,0.199,0.117012
2.45165002553884e-16,0.587025618820787,0.64,0.446,7.90166803231169e-12,3,Arf3,0.194,0.12416
3.01914694780397e-16,0.612775981062765,0.598,0.385,9.73071061277219e-12,3,Fam78b,0.213,0.127374
7.35265255227519e-16,0.472978426318857,0.76,0.601,2.36975991759829e-11,3,Heg1,0.159,0.12084
1.08844637050537e-15,0.852581783330862,0.348,0.186,3.50806265213881e-11,3,Ndufaf6,0.162,0.056376
1.30236494152647e-15,1.01579322997818,0.294,0.149,4.1975222065398e-11,3,Klf6,0.145,0.04263
2.51183021404251e-15,0.524806720804221,0.699,0.507,8.09562877985901e-11,3,Aars,0.192,0.134208
3.76048008358183e-15,0.605903929793775,0.588,0.382,1.21200273093842e-10,3,Nub1,0.206,0.121128
3.81148197330564e-15,0.719640449639834,0.473,0.291,1.22844063999641e-10,3,Slc27a4,0.182,0.086086
5.63121856266578e-15,0.958466347142275,0.332,0.18,1.81494174274718e-10,3,Caprin2,0.152,0.050464
6.78195151779536e-15,0.721533248144507,0.433,0.255,2.18582297418545e-10,3,Stk19,0.178,0.077074
7.21604051315769e-15,0.742798853028828,0.438,0.265,2.32572985739072e-10,3,Map4k4,0.173,0.075774
7.41311254468208e-15,0.829312627820346,0.369,0.209,2.38924617315104e-10,3,Dusp26,0.16,0.05904
8.21760604933994e-15,0.303008814579025,0.896,0.772,2.64853442970226e-10,3,Hmgn1,0.124,0.111104
1.15082872528418e-14,0.404515549384535,0.795,0.649,3.7091209815909e-10,3,Galnt7,0.146,0.11607
1.18691788846896e-14,0.820172347090603,0.369,0.209,3.82543635453546e-10,3,Thg1l,0.16,0.05904
1.61344209290682e-14,0.499455552055057,0.708,0.509,5.20012386543868e-10,3,Arl6ip1,0.199,0.140892
1.85129492723267e-14,0.719691586772338,0.471,0.295,5.9667235504709e-10,3,Rasal2,0.176,0.082896
5.88069230144615e-14,0.754256064688271,0.433,0.266,1.89534712875609e-09,3,Chn1,0.167,0.072311
