_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.4,GO:0006091,generation of precursor metabolites and energy,M1,1,0
1,-9,R-MMU-176409,APC/C:Cdc20 mediated degradation of mitotic proteins,M1,1,0
1,-2.2,GO:0009409,response to cold,M1,1,0
1,-9.1,R-MMU-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,M1,1,0
1,-2.7,GO:0009060,aerobic respiration,M1,1,0
1,-4.2,mmu05208,Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse),M1,1,0
1,-11,R-MMU-1168372,Downstream signaling events of B Cell Receptor (BCR),M1,1,0
1,-2,mmu04014,Ras signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.5,GO:0070972,protein localization to endoplasmic reticulum,M1,1,0
1,-2.5,R-MMU-5696400,Dual Incision in GG-NER,M1,1,0
1,-2.9,GO:0045333,cellular respiration,M1,1,0
1,-2.8,GO:0048041,focal adhesion assembly,M1,1,0
1,-13,R-MMU-8948751,Regulation of PTEN stability and activity,M1,1,0
1,-6.4,R-MMU-1280218,Adaptive Immune System,M1,1,0
1,-9.5,mmu05020,Prion disease - Mus musculus (house mouse),M1,1,0
1,-12,R-MMU-4608870,Asymmetric localization of PCP proteins,M1,1,0
1,-2.1,GO:0006886,intracellular protein transport,M1,1,0
1,-9.8,R-MMU-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,M1,1,0
1,-2.1,mmu00071,Fatty acid degradation - Mus musculus (house mouse),M1,1,0
1,-2.7,GO:0030258,lipid modification,M1,1,0
1,-2.1,GO:0090181,regulation of cholesterol metabolic process,M1,1,0
1,-11,R-MMU-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,M1,1,0
1,-2,mmu04370,VEGF signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.1,mmu04150,mTOR signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.4,WP2316,PPAR signaling pathway,M1,1,0
1,-3.3,GO:0034446,substrate adhesion-dependent cell spreading,M1,1,0
1,-2.3,R-MMU-177929,Signaling by EGFR,M1,1,0
1,-3.9,GO:0045727,positive regulation of translation,M1,1,0
1,-9.2,R-MMU-174184,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,M1,1,0
1,-9,R-MMU-9755511,KEAP1-NFE2L2 pathway,M1,1,0
1,-3,mmu04137,Mitophagy - animal - Mus musculus (house mouse),M1,1,0
1,-2.1,GO:1990542,mitochondrial transmembrane transport,M1,1,0
1,-2.1,GO:0030518,nuclear receptor-mediated steroid hormone signaling pathway,M1,1,0
1,-2.8,GO:0170040,proteinogenic amino acid catabolic process,M1,1,0
1,-3,R-MMU-390918,Peroxisomal lipid metabolism,M1,1,0
1,-2.2,WP295,Electron transport chain,M1,1,0
1,-7.4,R-MMU-2454202,Fc epsilon receptor (FCERI) signaling,M1,1,0
1,-2.4,R-MMU-5675221,Negative regulation of MAPK pathway,M1,1,0
1,-2,GO:0036294,cellular response to decreased oxygen levels,M1,1,0
1,-2.3,GO:1904262,negative regulation of TORC1 signaling,M1,1,0
1,-8.7,mmu05016,Huntington disease - Mus musculus (house mouse),M1,1,0
1,-9.4,R-MMU-68949,Orc1 removal from chromatin,M1,1,0
1,-2.3,GO:0045047,protein targeting to ER,M1,1,0
1,-11,R-MMU-5687128,MAPK6/MAPK4 signaling,M1,1,0
1,-3.5,GO:0006119,oxidative phosphorylation,M1,1,0
1,-12,R-MMU-6807070,PTEN Regulation,M1,1,0
1,-3.4,R-MMU-1428517,Aerobic respiration and respiratory electron transport,M1,1,0
1,-2.7,GO:0006446,regulation of translational initiation,M1,1,0
