,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,pct.1_pct.2
562,1.35851483919006e-08,0.653689290006868,0.357,0.223,0.000183046289432469,Hdgfl2,0.134
563,2.43120013637539e-07,0.496295222144556,0.415,0.281,0.0032757990637522,Trim24,0.134
564,9.78013601880723e-11,0.751001653853067,0.277,0.144,1.31777552717409e-06,Rbm4b,0.133
565,2.05634379417676e-43,2.33369573535813,0.759,0.626,2.77071762827377e-39,Hist1h2bc,0.133
566,1.79458792765052e-09,0.746706736473466,0.317,0.184,2.4180277737163e-05,Trp53inp1,0.133
567,3.76793312859967e-09,0.605380301255563,0.317,0.184,5.07691309747519e-05,Kif5c,0.133
568,1.98571327448558e-08,0.542983160871461,0.335,0.202,0.000267555006604187,Acap3,0.133
569,1.33104400800753e-07,0.464847108924466,0.4,0.267,0.00179344869638935,Cyth2,0.133
570,4.17628143486795e-07,0.557330463461319,0.406,0.273,0.00562712160534108,Dlg5,0.133
571,3.69879685596934e-05,0.270756796649381,0.498,0.365,0.498375888373309,Mapk6,0.133
572,1.17322821209583e-10,0.787407889444852,0.29,0.157,1.58080769297792e-06,Smc6,0.133
573,1.76460491739915e-10,0.864205608867333,0.299,0.166,2.37762866570362e-06,Gtf2b,0.133
574,2.3214800403427e-10,1.31412103598377,0.31,0.178,3.12796220635775e-06,Rgcc,0.132
575,5.4796366865028e-09,0.614630147236232,0.321,0.189,7.38326247139388e-05,Pde1c,0.132
576,1.30561519039155e-07,0.573618147812836,0.404,0.272,0.00175918590753357,Bcl6,0.132
577,3.51332762347328e-07,0.51289798556578,0.391,0.259,0.00473385763986789,Eprs,0.132
578,5.17084835235435e-07,0.447437208820986,0.415,0.283,0.00696720106996225,Mycbp2,0.132
579,1.19047765834825e-06,0.391500295882522,0.444,0.312,0.0160404959685843,Fam49a,0.132
580,1.9408861259611e-06,0.398106484591479,0.442,0.31,0.0261514996611999,Slc25a33,0.132
581,6.61994052548467e-06,0.292518157024327,0.654,0.522,0.0891970786403804,Celf2,0.132
582,8.51342546242963e-10,0.697876445259111,0.297,0.165,1.14709894680777e-05,Clk3,0.132
583,1.62823552309291e-09,0.856999578033679,0.35,0.218,2.19388454381539e-05,Fbxo30,0.132
584,1.09107761643427e-07,0.44510266819545,0.357,0.225,0.00147011798038353,Pard3b,0.132
585,8.70283021893156e-12,0.867129674847279,0.257,0.126,1.17261934369884e-07,Fam220a.1,0.131
586,8.80470456146706e-10,0.748416890822695,0.306,0.175,1.18634589261207e-05,Chn1,0.131
587,9.50637233505371e-09,0.5559772495824,0.319,0.188,0.000128088860842514,Ppp1r15b,0.131
588,8.35717294866177e-08,0.547166123462915,0.373,0.242,0.00112604548310269,Rbm33,0.131
589,3.61625372460389e-07,0.489545017830577,0.397,0.266,0.00487254026853128,Cdh20,0.131
590,2.21097237458128e-06,0.351335056568031,0.422,0.291,0.0297906417751081,Srsf11,0.131
591,6.14438803762518e-06,0.410771318491114,0.491,0.36,0.0827894844189617,Chd4,0.131
592,3.51004649527507e-10,0.791120372942302,0.283,0.152,4.72943664773363e-06,Hnrnpab,0.131
593,7.12305170685487e-08,0.525437668623017,0.35,0.219,0.000959759986981626,Prune2,0.131
594,1.58997272908996e-11,0.902442548794846,0.257,0.127,2.14232925517581e-07,Myo1d,0.13
595,3.95988544479372e-08,0.542105075000842,0.333,0.203,0.000533554964831506,Rictor,0.13
596,8.56171590327001e-08,0.586024974939817,0.4,0.27,0.0011536056008066,Dyrk1a,0.13
597,1.02572887549482e-09,0.639696907886281,0.288,0.158,1.38206708684172e-05,Prkaa2,0.13
598,2.87135613622576e-07,0.452474397067793,0.364,0.234,0.0038688652579506,Klhl7,0.13
599,2.75450805805181e-11,0.807453061239363,0.252,0.123,3.71142415741901e-07,Msrb3,0.129
600,2.41394561876993e-09,0.753722039339097,0.312,0.183,3.2525503267306e-05,Rnf138,0.129
601,4.88101683009493e-09,0.3486395441591,0.312,0.183,6.57668207686991e-05,Necab2,0.129
602,1.79788289804138e-08,0.584702250870917,0.328,0.199,0.000242246741682095,Lama1,0.129
603,4.45686067871241e-08,0.531669622334532,0.33,0.201,0.00060051740784971,Tmem183a,0.129
604,3.15310340156067e-06,0.298179492114753,0.397,0.268,0.0424849152326284,Eef2,0.129
605,2.03512687821822e-05,0.273298323370786,0.455,0.326,0.274212995571123,Mgat5,0.129
606,1.09599351629434e-10,0.812752664944512,0.263,0.135,1.47674166385499e-06,Arntl,0.128
607,2.34341408048447e-06,0.375866901998166,0.397,0.269,0.0315751613204477,Prkd1,0.128
608,2.86904634968934e-06,0.34553785135081,0.426,0.298,0.0386575305157142,Stx5a,0.128
609,3.17124869743203e-06,0.428069831754813,0.464,0.336,0.0427294049491991,Nufip2,0.128
610,1.55200102775539e-05,0.313909435068041,0.482,0.354,0.209116618479761,Srrm2,0.128
611,2.78128710721406e-05,0.287710545516768,0.449,0.321,0.374750624826022,Ccdc50,0.128
612,1.34689937483105e-09,0.673728701512622,0.283,0.155,1.81481221764735e-05,Odf2l,0.128
613,1.63774816825831e-09,0.656776297049513,0.29,0.162,2.20670188191125e-05,Sirt7,0.128
614,2.6209441001984e-09,0.684457998412173,0.295,0.167,3.53146008060732e-05,Mier3,0.128
615,5.58241139525697e-08,0.611669298471186,0.353,0.225,0.000752174111396924,Nup153,0.128
616,1.53375456166479e-07,0.469690744449017,0.353,0.225,0.00206658089638713,Golga4,0.128
617,1.60679568529088e-10,0.87181557516312,0.268,0.141,2.16499650636093e-06,Map2k3,0.127
618,5.77738671560452e-10,0.750168127566489,0.281,0.154,7.78445086060553e-06,Myo9b,0.127
619,5.77169748458286e-47,1.29886589052952,0.83,0.703,7.77678519072695e-43,Cfl1,0.127
620,1.77672944725595e-11,1.28274945154515,0.252,0.125,2.39396525723267e-07,Tmcc3,0.127
621,6.66615849636417e-11,0.895783432236857,0.257,0.13,8.98198195800108e-07,Zfp653,0.127
622,3.19368579543226e-08,0.571495848613874,0.328,0.201,0.000430317224076543,Rasal2,0.127
623,3.0552647992526e-07,0.501415515274193,0.482,0.355,0.00411666379051296,Hspa5,0.127
624,1.03825936894725e-06,0.42746250905972,0.386,0.259,0.0139895067371953,Hnrnpc,0.127
625,2.36108226773591e-05,0.369496896616406,0.462,0.335,0.318132224754736,Adam11,0.127
626,3.67706531975435e-09,0.73316337969625,0.297,0.17,4.954477811837e-05,Zfp423,0.127
627,8.78618479758048e-08,0.576677015336352,0.359,0.232,0.00118385053962599,Prdm5,0.127
628,5.34255167452631e-06,0.375666964907318,0.576,0.449,0.0719855412625675,Dlgap4,0.127
629,4.96808998544754e-10,1.14821109936594,0.301,0.175,6.69400444639202e-06,Pitrm1,0.126
630,6.20496483492987e-07,0.384522663118059,0.395,0.269,0.00836056961858451,Efnb2,0.126
631,1.68444301456416e-06,0.437094271383777,0.413,0.287,0.0226961851782374,Pitpnc1,0.126
632,5.42116987608182e-09,0.655563124784127,0.297,0.171,7.30448429103264e-05,Frem1,0.126
633,2.94808325097087e-05,0.30519204491273,0.54,0.415,0.397224737235816,Mapk14,0.125
634,2.93622667644665e-38,2.08721765155471,0.73,0.605,3.95627182384422e-34,Mt2,0.125
635,8.56906330120634e-09,0.640191833045448,0.297,0.172,0.000115459558920454,Trip6,0.125
636,1.26448455757926e-08,0.590036733114301,0.297,0.172,0.000170376649288229,Pcsk5,0.125
637,4.2668852681657e-08,0.718699056410013,0.359,0.234,0.000574920121032647,Zcchc14,0.125
638,1.40550892394905e-07,0.592558026276929,0.357,0.232,0.00189378272412895,Myo5b,0.125
639,1.24762915005532e-09,0.768499426894787,0.266,0.142,1.68105551678453e-05,Dcdc2a,0.124
640,8.93646482470848e-09,0.694822840296304,0.304,0.18,0.000120409927048122,Paf1,0.124
641,3.9642830833934e-07,0.573473814613758,0.408,0.284,0.00534147502656426,Rlim,0.124
642,1.61980811468916e-05,0.350482511684982,0.464,0.34,0.218252945373217,Ywhag,0.124
643,4.83138957651909e-09,0.967298371980238,0.355,0.231,6.50981431540182e-05,Sox4,0.124
644,8.40986237634931e-08,0.623825875248226,0.35,0.226,0.00113314485658931,Rnf19a,0.124
645,1.48051413251343e-22,0.548166301601813,0.897,0.774,1.99484474214859e-18,Clk1,0.123
646,2.87877401546797e-10,0.858153272650049,0.263,0.14,3.87886010844154e-06,Scmh1,0.123
647,2.98975375046838e-09,0.968683545959855,0.295,0.172,4.0283942033811e-05,Abhd17c,0.123
648,1.00180523417121e-07,0.542983160871461,0.319,0.196,0.00134983237252229,Hif3a,0.123
649,8.93642836256153e-07,0.656582157170403,0.498,0.375,0.0120409435757154,Arrdc3,0.123
650,3.95886613551939e-06,0.449715315906848,0.382,0.259,0.0533417623099882,Cth,0.123
651,4.12528392089784e-06,0.401986554705082,0.388,0.265,0.0555840755501775,Picalm,0.123
652,1.30915799808672e-05,0.305625676597616,0.4,0.277,0.176395948662205,Ralgps2,0.123
653,1.82862385487254e-09,0.991201738693363,0.283,0.16,2.46388778205526e-05,Gclc,0.123
654,4.83387280288218e-07,0.511080464473904,0.355,0.232,0.00651316021460345,Pdgfc,0.123
655,5.71026803221642e-07,0.587828351857636,0.533,0.411,0.0076940151466084,Cdc42ep1,0.122
656,2.40002140914256e-08,0.616890874318573,0.299,0.177,0.000323378884667868,Afap1,0.122
657,2.82543574395865e-06,0.395041031367342,0.379,0.257,0.0380699212140988,Khdc4,0.122
658,2.91832603231014e-06,0.368568820006151,0.359,0.237,0.0393215249593468,Rabl6,0.122
659,1.41901598947471e-09,0.761580012954996,0.263,0.142,1.91198214421822e-05,Nkiras1,0.121
660,5.34834886959453e-09,0.651987351786917,0.272,0.151,7.20636526689167e-05,Irf2,0.121
661,9.91717626627805e-09,0.652628729303071,0.277,0.156,0.00013362403301183,Boc,0.121
662,3.24644106413308e-07,0.495909859216932,0.33,0.209,0.00437425468981292,Mpp5,0.121
663,2.3391093946682e-10,0.920694738718762,0.252,0.131,3.15171599837594e-06,Luzp1,0.121
664,4.96452614191121e-07,0.576840133097946,0.431,0.31,0.00668920252361116,Hnrnpll,0.121
665,9.59314265643035e-07,0.474097483651701,0.391,0.27,0.0129258004152743,Inpp5f,0.121
666,1.40282442876009e-06,0.437854114906316,0.362,0.241,0.0189016563531135,Rev3l,0.121
667,1.70453501837364e-06,0.468301166591368,0.415,0.294,0.0229669048375665,Nectin2,0.121
668,2.49857730486005e-06,0.429709114820055,0.386,0.265,0.0336658306056843,Cebpg,0.121
669,8.8907952088798e-06,0.436255627517726,0.453,0.332,0.119794574644446,Adamts5,0.121
670,1.88289556792824e-05,0.328398381530617,0.42,0.299,0.253701348822651,Smarca2,0.121
671,1.9753166791036e-05,0.318708305479427,0.446,0.325,0.266154169342418,Golph3,0.121
672,2.68876193217413e-06,0.446385668917163,0.402,0.282,0.0362283782741142,Tmod2,0.12
673,3.5595416973959e-06,0.3611720918716,0.379,0.259,0.0479612648307124,Hdac7,0.12
674,7.55113333289286e-06,0.565777545168729,0.458,0.338,0.101743970527398,Pik3r1,0.12
675,8.76161675070762e-06,0.303528756830121,0.366,0.246,0.118054024099034,Supt6,0.12
676,4.0581587683403e-05,0.298179492114753,0.435,0.315,0.546796312446172,Rap1b,0.12
677,4.07520513294961e-05,0.305928991719688,0.478,0.358,0.54909313961363,Tor1aip1,0.12
678,4.96398382721428e-05,0.31657418236789,0.458,0.338,0.668847180878852,Apba2,0.12
679,5.44094373988457e-05,0.376304468785757,0.496,0.376,0.733112759512048,Vps37b,0.12
680,1.76875979612221e-06,0.449936370858141,0.353,0.233,0.0238322694929507,Pag1,0.12
681,3.26971400405052e-09,0.777208548086844,0.266,0.147,4.40561264905767e-05,Zscan21,0.119
682,9.83102539838389e-09,0.730726759682046,0.281,0.162,0.000132463236217825,Maml2,0.119
683,4.72333316325875e-08,0.695250444864148,0.339,0.22,0.000636421910417484,Kcnab2,0.119
684,4.49409791948491e-07,0.510098582221693,0.328,0.209,0.00605534753671397,Ajuba,0.119
685,1.88817796904025e-07,0.557602644396168,0.319,0.2,0.00254413099548484,Cnot10,0.119
686,5.01481900532467e-07,0.256828392321298,0.321,0.202,0.00675696712777446,Id4,0.119
687,3.97611194952553e-06,0.389652421301031,0.366,0.247,0.053574132407907,Atp9b,0.119
688,4.97182976300331e-09,0.741413883224249,0.266,0.148,6.69904342267066e-05,Smad7,0.118
689,1.19520702498262e-06,0.585397932714468,0.342,0.224,0.0161042194546158,Slc12a2,0.118
690,6.06240547925915e-10,1.07856736657209,0.252,0.134,8.16848514275378e-06,Topors,0.118
691,1.43882667169338e-07,0.572927318512338,0.304,0.186,0.00193867505743966,Sos2,0.118
692,3.48566384037101e-07,0.413423055790412,0.301,0.183,0.0046965834585159,Ccnk,0.118
693,3.74766426442696e-07,0.553395760422687,0.31,0.192,0.00504960282988888,Stx4a,0.118
694,1.10086098840301e-06,0.462984421898258,0.371,0.253,0.0148330009577422,Crebzf,0.118
695,4.0991357858607e-06,0.378218990039871,0.353,0.235,0.055231755578687,Nsmaf,0.118
696,7.29517527874399e-06,0.409092191082326,0.438,0.32,0.0982951917057965,Brd8,0.118
697,7.51906160048045e-06,0.374855082853583,0.364,0.246,0.101311836004874,Odf2,0.118
698,3.80546848889943e-08,0.634228695246768,0.286,0.168,0.000512748824194309,Shoc2,0.118
699,4.21514440856257e-07,0.536598152118364,0.547,0.43,0.0056794855760972,Rnd3,0.117
700,0.00014821540470199,0.272287958982729,0.462,0.345,1,Snrnp70,0.117
701,1.47362587254162e-08,0.659177151680708,0.266,0.149,0.000198556350066258,Ncoa3,0.117
702,2.64498778125725e-08,0.662233062674793,0.277,0.16,0.000356385653646602,Akirin1,0.117
703,3.98687584535366e-09,0.739212199926542,0.252,0.135,5.37191651402951e-05,Etf1,0.117
704,2.75004078717043e-07,0.469156403950652,0.299,0.182,0.00370540495663343,Pcgf2,0.117
705,1.72085991766345e-06,0.512085447563373,0.366,0.249,0.0231868665305973,Bmt2,0.117
706,3.71511488853761e-05,0.319934044755275,0.473,0.356,0.500574580081558,Fam102a,0.117
707,4.14096234964491e-05,0.302766761610405,0.393,0.276,0.557953266991155,Sfswap,0.117
708,6.14524555642042e-05,0.300397317364572,0.453,0.336,0.828010386272088,Kmt2e,0.117
709,0.000117608271847217,0.307168275342008,0.482,0.365,1,Vgll4,0.117
710,1.21898517377818e-05,0.382138518550229,0.402,0.286,0.164246062314872,Plekhh2,0.116
711,4.21100355304771e-08,0.617947324495826,0.275,0.159,0.000567390618737649,Ptbp3,0.116
712,1.00756601436809e-07,0.587530335942326,0.288,0.172,0.00135759444775956,Usp16,0.116
713,1.19962745082205e-07,0.618835929766067,0.295,0.179,0.00161637802723764,Acvr1,0.116
714,1.5435003732093e-07,0.579213581359769,0.295,0.179,0.00207971240286221,Atxn7l1,0.116
715,9.04335865444839e-07,0.442097855428117,0.317,0.201,0.0121850214510038,Gramd4,0.116
716,3.46524220470601e-05,0.332654132275677,0.408,0.292,0.466906734662088,Bccip,0.116
717,5.90183488023191e-05,0.335788953281776,0.48,0.364,0.795213231762448,Suco,0.116
718,1.0888672073367e-08,0.753771089744232,0.257,0.142,0.000146713967516546,Eif2ak2,0.115
719,1.86425386600056e-08,0.900419984267745,0.288,0.173,0.000251189565904915,Slc38a2,0.115
720,2.6098568731867e-07,0.510656444586119,0.292,0.177,0.00351652115093177,Luc7l,0.115
721,6.38203644426494e-07,0.502760637334741,0.31,0.195,0.00859915590500258,Stk3,0.115
722,2.07577667642937e-05,0.384957780545184,0.442,0.327,0.279690149382094,Ncoa1,0.115
723,2.12982689674233e-05,0.342021665394592,0.371,0.256,0.286972876067061,Cmip,0.115
724,3.29547743347983e-05,0.298179492114753,0.424,0.309,0.444032629387072,Rbm4,0.115
725,4.46044124487775e-05,0.298511413211556,0.667,0.552,0.600999853334828,Adamtsl1,0.115
726,0.00021301169922047,0.275323215941131,0.496,0.381,1,Sema6a,0.115
727,3.31394765979663e-08,0.664407686024853,0.268,0.154,0.000446521307680998,Plekhm2,0.114
728,3.86432608014785e-07,0.62215978513036,0.328,0.214,0.00520679296039121,Bcl2l13,0.114
729,1.2527765788694e-05,0.399773769480064,0.391,0.277,0.168799116236863,Arhgef1,0.114
730,3.58070525791624e-05,0.429400602547399,0.509,0.395,0.482464226451635,Hsp90ab1,0.114
731,0.000114395281848078,0.278100150208778,0.663,0.549,1,Erbin,0.114
732,1.87853550277381e-07,0.510155297505863,0.283,0.169,0.00253113873643743,Kctd1,0.114
733,4.17679247491609e-08,0.727022790918628,0.263,0.15,0.000562781018070194,Ppm1d,0.113
734,5.77765215128427e-08,0.669886635218228,0.27,0.157,0.000778480850864043,Nova1,0.113
735,2.93937254869194e-06,0.450727924837092,0.319,0.206,0.0396051057210752,Brd1,0.113
736,1.92507424310193e-07,0.602472167096289,0.292,0.179,0.00259384503515554,Brd9,0.113
737,3.57700419629705e-06,0.460090809925111,0.368,0.255,0.0481965545409065,Dmtf1,0.113
738,0.000107710966728199,0.294381924665666,0.433,0.32,1,Atrx,0.113
739,1.56632026048541e-08,0.697449675535281,0.254,0.142,0.000211045991897804,Ube2s,0.112
740,4.06695892427301e-06,0.415555742375546,0.335,0.223,0.0547982045456545,Nrbp1,0.112
741,3.04028321495538e-06,0.778314793684931,0.422,0.31,0.0409647760383088,Hmgb1,0.112
742,6.00996754856737e-05,0.370190737030142,0.413,0.301,0.809783027493968,Nktr,0.112
743,7.20208892341289e-05,0.337449609627312,0.429,0.317,0.970409461540653,Nfat5,0.112
744,8.17311886310226e-05,0.306825470293255,0.422,0.31,1,Clk2,0.112
745,4.35168935129971e-05,0.346819236615696,0.4,0.289,0.586346623194123,Safb2,0.111
746,0.000183002183493539,0.263547607371507,0.455,0.344,1,Sobp,0.111
747,4.32355328018008e-06,0.410147923757551,0.328,0.217,0.0582555568971464,Cdk6,0.111
748,1.51327361893008e-05,0.319738057473851,0.339,0.228,0.203898487414639,Pou2f1,0.111
749,5.23089002490213e-09,0.400277679733489,0.757,0.646,7.04810121955313e-05,Mapre1,0.111
750,1.19615010868297e-07,0.920592377089322,0.306,0.195,0.00161169265643943,Dnajb4,0.111
751,2.4379891522624e-07,0.62259285039171,0.286,0.175,0.00328494658375836,Ccng2,0.111
752,3.14288590300467e-05,0.362731879983867,0.375,0.264,0.423472446570849,Grid2,0.111
753,9.32336533907165e-08,0.638891880639963,0.261,0.151,0.00125623024578651,Ndfip2,0.11
754,3.03951648154085e-07,0.629228976970664,0.275,0.165,0.00409544450722814,Mapt,0.11
755,5.00740492298126e-07,0.540609666687746,0.281,0.171,0.00674697739322495,Crtc3,0.11
756,3.99017549365554e-06,0.447579555009195,0.319,0.209,0.0537636246015147,Nck2,0.11
757,2.75887691719845e-05,0.309974166095303,0.346,0.236,0.371731075823319,Lnx2,0.11
758,5.58938158643342e-05,0.300262806615242,0.371,0.261,0.753113274956039,Phc3,0.11
759,1.7695759357625e-06,0.295428006778095,0.81,0.701,0.0238432661584639,Cers6,0.109
760,1.68778305192225e-07,0.581972458115345,0.259,0.15,0.00227411888416004,Ptpn2,0.109
761,2.66579927467171e-07,0.613922389785911,0.27,0.161,0.00359189794269267,Ppp2r2a,0.109
762,3.29746900841234e-07,0.577017060440945,0.268,0.159,0.00444300974193479,Dcbld2,0.109
763,1.11818024614819e-06,0.507804617377323,0.292,0.183,0.0150663606366008,Akap9,0.109
764,1.37499479422944e-07,0.809351732121551,0.268,0.16,0.00185266798574475,Cpeb1,0.108
765,1.67589686867026e-07,0.57760285848758,0.263,0.155,0.00225810344084631,Rufy2,0.108
766,3.61614975060165e-06,0.35361847854018,0.29,0.182,0.0487240017396067,Ift46,0.108
767,5.7541972155532e-06,0.410947422276703,0.308,0.2,0.0775320532823638,U2af1,0.108
768,8.2672677861269e-05,0.349344252741253,0.413,0.305,1,Rere,0.108
769,5.37177326092525e-07,0.555087795151706,0.279,0.172,0.00723792729177068,Pik3c2a,0.107
770,2.50823243792242e-06,0.400541209744431,0.281,0.174,0.0337959238685667,Sybu,0.107
771,1.32629475194487e-07,0.697142228535526,0.259,0.152,0.00178704954877051,Pi4k2a,0.107
772,3.80289421285609e-05,0.376182004116027,0.386,0.279,0.512401966240229,Mtss1,0.107
