"GeneID","logFC_1","adj.P.Val_1","logFC_2","adj.P.Val_2","logFC_3","adj.P.Val_3","logFC_4","adj.P.Val_4","logFC_5","adj.P.Val_5","logFC_6","adj.P.Val_6"
"Myo7a",0.125910393842307,0.999455473488465,0.0709108731664405,0.977374707066814,-0.0432212812720851,0.91456671780927,-0.00694447832312656,0.970570517710682,-0.353468544515596,0.0141491839792721,0.266686114728559,0.375878569839198
"Myof",-0.00824523920680736,0.999455473488465,-0.00872521420749767,0.977374707066814,0.00561898485494577,0.940122999396991,0.0765931865474401,0.0316612545082819,-0.0630557988268739,0.0328824544141522,0.00195822068043655,0.983386866109516
"Mypop",-0.0337774169694662,0.999455473488465,0.021811955573218,0.977374707066814,-0.0227294224047029,0.84801099160689,0.130330246373498,0.0190714431997644,-0.0933729415196902,0.0430990221275161,0.00443769007429881,0.975828582705816
"Myrip",0.0884816501594532,0.999455473488465,0.250760440992646,0.884607729495558,0.221781719505498,0.552568245520649,0.199884173547858,0.381388525385372,-0.570937541302283,0.000375268850133115,-0.202088940071959,0.595071538072304
"Mzt1",0.0830133191036726,0.944028169190664,-0.0184529596436853,0.977374707066814,-0.101978075843647,0.580151322161963,0.0715813154280427,0.541123798314193,-0.0140514251166175,0.881703890434531,-0.0222628127202431,0.932632408428306
"N4bp1",-0.0585460102704184,0.999455473488465,0.145124772572083,0.913637345651906,0.0283799707635946,0.922855147649375,0.218146059296167,0.0973328437388132,-0.355818723059518,0.000279555462268025,0.0482006364639742,0.876452873065568
"N4bp2l1",-0.0734661705237936,0.999455473488465,0.0972004942494242,0.972599774869665,0.0426498555993179,0.882226237232028,0.134399909929805,0.348057060332781,-0.285039394316302,0.00966093755099712,0.118140901769693,0.620312858380237
"N6amt1",-0.0145630611524769,0.999455473488465,-0.0102666602803896,0.977374707066814,0.016976525606618,0.770468760142568,-0.0258339433001817,0.410628991383252,-4.98903374026305e-05,0.99865949394431,0.0404973679369028,0.404038279215682
"Naa20",0.0871202845154322,0.999455473488465,0.199430044593227,0.965864912159755,0.0266754361986998,0.948764409893022,0.173743818443171,0.420763272472177,-0.517009089893392,0.000566658498414833,0.0627838709361179,0.904129737326291
"Naa38",0.213440428224468,0.330016728033653,-0.0171536922593596,0.977374707066814,-0.14376796997237,0.428901515427907,-0.304630428303475,0.00565140636364475,0.0652772632427068,0.522119537916851,0.216980388928067,0.250051748888235
"Nacad",0.0128312185169045,0.999455473488465,0.0512622859116949,0.977374707066814,0.0218603667927076,0.933780514080059,0.261540377595765,0.0282610883676863,-0.160135122233575,0.133086639930389,-0.21492649938696,0.296712294462446
"Naf1",0.0731541380610745,0.978605173103688,0.126523365562546,0.827589055563426,-0.0541455344298557,0.79121862806477,0.0801357982227439,0.457470902132428,-0.135039893953152,0.0972291204174688,-0.102881554380824,0.550186913625286
"Naga",-0.0387132693371216,0.999455473488465,0.0399925746634407,0.977374707066814,0.0578177875154927,0.850910886664045,0.0550304594864941,0.74934337578653,-0.312788871807879,0.0102166257926307,0.256791834566495,0.308081394862139
"Nanp",0.020658308420852,0.999455473488465,0.0493743867042874,0.977374707066814,0.0394173615452024,0.862278851289004,0.0849542031574582,0.474009756803659,-0.111067634726254,0.257901202758634,-0.0946752105100791,0.622226041656695
"Nav1",0.00797283058699566,0.999455473488465,-0.00333877580782016,0.996141447619893,-0.0623670015750659,0.665626071506272,0.160866705061727,0.0349773815764013,-0.155166366941328,0.0124260269982737,0.0739415363164437,0.588634532532619
"Naxe",0.187252143842941,0.589158750643468,0.033616679806474,0.977374707066814,-0.0981558727475296,0.736529998079604,-0.10070667373299,0.527771719230795,-0.132449937605077,0.29440162614501,0.137456383237563,0.593415386192988
