Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0140352,export from cell,19_GO:0051179 localization,-2.8,2.7,3.7,21160,530,176,12,6.8,1.9,11928|11932|11933|14681|14756|18007|18479|19215|21817|27416|54403|56455,Atp1a1|Atp1b2|Atp1b3|Gnao1|Gpld1|Neo1|Pak1|Ptgds|Tgm2|Abcc5|Slc4a4|Dynll1,-1.5
hits,GO Biological Processes,19,GO:0048705,skeletal system morphogenesis,19_GO:0032502 developmental process,-2.8,3.6,3.9,21160,265,176,8,4.5,1.6,12824|14284|17869|18595|22339|71371|216795|231070,Col2a1|Fosl2|Myc|Pdgfra|Vegfa|Arid5b|Wnt9a|Insig1,-1.5
hits,GO Biological Processes,19,GO:0050926,regulation of positive chemotaxis,19_GO:0040011 locomotion,-2.8,12,5.6,21160,29,176,3,1.7,0.98,13609|20315|22339,S1pr1|Cxcl12|Vegfa,-1.5
hits,GO Biological Processes,19,GO:0043536,positive regulation of blood vessel endothelial cell migration,19_GO:0040011 locomotion,-2.8,7.8,4.9,21160,62,176,4,2.3,1.1,12822|16002|22339|80837,Col18a1|Igf2|Vegfa|Rhoj,-1.5
hits,Reactome Gene Sets,6,R-MMU-6794362,Protein-protein interactions at synapses,,-2.8,7.8,4.9,21160,62,176,4,2.3,1.1,13822|19266|20168|245450,Epb41l2|Ptprd|Rtn3|Slitrk2,-1.5
hits,KEGG Pathway,24,mmu04922,Glucagon signaling pathway - Mus musculus (house mouse),,-2.7,5.8,4.5,21160,104,176,5,2.8,1.3,16828|18648|56421|110078|110095,Ldha|Pgam1|Pfkp|Pygb|Pygl,-1.5
hits,GO Biological Processes,19,GO:0016358,dendrite development,19_GO:0032502 developmental process,-2.7,4.7,4.2,21160,153,176,6,3.4,1.4,13175|14763|17755|18479|19242|109294,Dclk1|Gpr37|Map1b|Pak1|Ptn|Prex2,-1.5
hits,GO Biological Processes,19,GO:0002761,regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-2.7,4.7,4.2,21160,154,176,6,3.4,1.4,12349|15902|17869|19645|83554|211770,Car2|Id2|Myc|Rb1|Fstl3|Trib1,-1.5
hits,Reactome Gene Sets,6,R-MMU-9013106,RHOC GTPase cycle,,-2.7,7.6,4.8,21160,63,176,4,2.3,1.1,12389|50768|59079|84004,Cav1|Dlc1|Erbin|Mcam,-1.4
hits,Reactome Gene Sets,6,R-MMU-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",,-2.7,5.7,4.4,21160,106,176,5,2.8,1.3,15937|16337|16367|18595|21802,Ier3|Insr|Irs1|Pdgfra|Tgfa,-1.4
hits,GO Biological Processes,19,GO:0018212,peptidyl-tyrosine modification,19_GO:0009987 cellular process,-2.7,5.7,4.4,21160,106,176,5,2.8,1.3,12389|16337|18595|22339|216616,Cav1|Insr|Pdgfra|Vegfa|Efemp1,-1.4
hits,GO Biological Processes,19,GO:0051894,positive regulation of focal adhesion assembly,19_GO:0048518 positive regulation of biological process,-2.7,12,5.5,21160,30,176,3,1.7,0.98,18606|22339|26921,Enpp2|Vegfa|Map4k4,-1.4
hits,GO Biological Processes,19,GO:0034367,protein-containing complex remodeling,19_GO:0009987 cellular process,-2.7,12,5.5,21160,30,176,3,1.7,0.98,11816|18784|27226,Apoe|Pla2g5|Pla2g7,-1.4
hits,GO Biological Processes,19,GO:1901136,carbohydrate derivative catabolic process,19_GO:0009987 cellular process,-2.7,4,4,21160,211,176,7,4,1.5,11674|11676|14751|15937|18648|21991|56421,Aldoa|Aldoc|Gpi1|Ier3|Pgam1|Tpi1|Pfkp,-1.4
hits,GO Biological Processes,19,GO:0030307,positive regulation of cell growth,19_GO:0040007 growth,-2.7,4,4,21160,211,176,7,4,1.5,11816|14268|17755|18479|20315|22339|66102,Apoe|Fn1|Map1b|Pak1|Cxcl12|Vegfa|Cxcl16,-1.4
hits,GO Biological Processes,19,GO:0046364,monosaccharide biosynthetic process,19_GO:0009987 cellular process,-2.7,7.5,4.8,21160,64,176,4,2.3,1.1,11676|14751|18648|21991,Aldoc|Gpi1|Pgam1|Tpi1,-1.4
hits,GO Biological Processes,19,GO:0090109,regulation of cell-substrate junction assembly,19_GO:0050789 regulation of biological process,-2.7,7.5,4.8,21160,64,176,4,2.3,1.1,18606|22339|26921|50768,Enpp2|Vegfa|Map4k4|Dlc1,-1.4
hits,GO Biological Processes,19,GO:0051893,regulation of focal adhesion assembly,19_GO:0050789 regulation of biological process,-2.7,7.5,4.8,21160,64,176,4,2.3,1.1,18606|22339|26921|50768,Enpp2|Vegfa|Map4k4|Dlc1,-1.4
hits,Reactome Gene Sets,6,R-MMU-8953897,Cellular responses to stimuli,,-2.7,2.7,3.6,21160,543,176,12,6.8,1.9,11758|12306|13627|14268|19645|22151|26921|50527|53417|56455|73710|112407,Prdx6|Anxa2|Eef1a1|Fn1|Rb1|Tubb2a|Map4k4|Ero1a|Hif3a|Dynll1|Tubb2b|Egln3,-1.4
hits,GO Biological Processes,19,GO:0060041,retina development in camera-type eye,19_GO:0032502 developmental process,-2.7,4,4,21160,212,176,7,4,1.5,12677|18595|19242|20848|58998|80837|234267,Vsx2|Pdgfra|Ptn|Stat3|Nectin3|Rhoj|Gpm6a,-1.4
