,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,pct.1_pct.2
64,4.65729131414617e-07,0.438923014373693,0.665,0.589,0.00518682533656459,Fam169a,0.0760000000000001
65,4.09530956279084e-22,0.574135621030586,0.874,0.798,4.56094626008016e-18,Plekhb1,0.076
66,0.00045428036815827,0.318055205246267,0.265,0.192,1,Rab14,0.073
67,0.000674529958322562,0.393346863587096,0.393,0.32,1,Map1lc3a,0.073
68,0.000362411226952208,0.429226104016126,0.288,0.215,1,Elob,0.073
69,0.000936714049731699,0.332829103972934,0.337,0.265,1,Rab1a,0.072
70,0.000838907283204778,0.357954077595656,0.314,0.244,1,Sdf4,0.07
71,0.00102321210652722,0.383614231392143,0.335,0.265,1,Cdk19,0.07
72,0.00126964532658424,0.345291909077372,0.319,0.249,1,Otx2,0.07
73,0.000594433809446119,0.378285393005045,0.265,0.196,1,Pgk1,0.069
74,2.72480502262666e-12,0.457517662633911,0.813,0.745,3.03461535369931e-08,Map1b,0.0679999999999999
75,0.000495264851929465,0.519345270304046,0.267,0.201,1,Higd1a,0.066
76,0.000672541530227235,0.472932018904222,0.267,0.201,1,Nap1l1,0.066
77,0.00369343921593597,0.288254427713025,0.365,0.299,1,Ap1b1,0.066
78,0.00105028182462985,0.450939068528142,0.272,0.207,1,AW549877,0.065
79,0.00191854183412872,0.364489286855272,0.314,0.249,1,Fbxl5,0.065
80,0.00157272225236321,0.375429901738242,0.29,0.225,1,Pten,0.065
81,0.00134223609671564,0.448679547682709,0.272,0.209,1,Tram1,0.063
82,0.0034691253866202,0.302586767195725,0.365,0.302,1,Rdh8,0.063
83,0.00212888683218484,0.263221809380551,0.574,0.511,1,Eif4g2,0.0629999999999999
84,0.00451573403124627,0.343563756651679,0.422,0.36,1,Ahcyl1,0.062
85,0.00299014201008084,0.35010308390147,0.255,0.195,1,Dstn,0.06
86,0.00347250210847779,0.38521942942178,0.258,0.199,1,Ankrd33b,0.059
87,0.00430141227061902,0.330500297912961,0.368,0.309,1,Nsf,0.059
88,0.00415030426039235,0.337164028193972,0.269,0.211,1,Map1lc3b,0.058
89,0.00410065211203327,0.343736682117458,0.302,0.244,1,Gtpbp1,0.058
90,0.00667338721637651,0.336323541691383,0.274,0.217,1,Ubqln2,0.057
91,0.0041865751308776,0.380945720221885,0.26,0.203,1,Nudc,0.057
92,0.00450765976962087,0.371252918773253,0.314,0.257,1,Tnpo1,0.057
93,4.51075511930168e-21,0.537392721871531,0.871,0.815,5.02362797636628e-17,Mgarp,0.056
94,0.0066216527610346,0.3342346971553,0.344,0.289,1,Dnajc5,0.055
95,5.00727763349592e-17,0.403495423459626,0.927,0.876,5.5766051004244e-13,Cst3,0.051
96,0.00931589238995127,0.394285307094324,0.281,0.231,1,Uqcc3,0.05
97,1.95338086991992e-44,0.40699193599006,1,1,2.17548027482982e-40,Rbp3,0
