,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Lca5,1.30994567719194e-198,-0.856580991122638,0.137,0.267,2.15433666070987e-194,-0.13
Prrc2c,1.06525454492763e-147,-0.465821376406386,0.19,0.32,1.75191762458798e-143,-0.13
Tm9sf3,3.21677024400049e-178,-0.666747919961348,0.157,0.288,5.2903003432832e-174,-0.131
Jam2,5.73078796556259e-163,-0.591071432160553,0.203,0.334,9.42485388816423e-159,-0.131
Nptn,1.88102717344223e-174,-0.602848996408863,0.163,0.295,3.0935372894431e-170,-0.132
Luc7l2,3.41657576963624e-172,-0.581631822747577,0.161,0.293,5.61890051074376e-168,-0.132
Pla2g5,1.59924201639018e-186,-0.799328482942706,0.171,0.304,2.6301134201553e-182,-0.133
Rab2a,9.40560431021456e-209,-0.829662660308484,0.123,0.256,1.54684568485789e-204,-0.133
Huwe1,1.93977514914824e-198,-0.766628037008493,0.132,0.265,3.1901542102892e-194,-0.133
Iqsec1,4.56449802050202e-185,-0.667897446723251,0.156,0.29,7.50677344451762e-181,-0.134
Atp2c1,1.35163097439225e-208,-0.819150963471688,0.128,0.262,2.22289230048549e-204,-0.134
Casz1,3.5296961463827e-189,-0.635596600371032,0.331,0.465,5.80493828234099e-185,-0.134
Arl4d,1.41006648371854e-226,-1.03412462477696,0.124,0.259,2.31899533912351e-222,-0.135
Dync1li1,4.09306927067239e-160,-0.543468379791492,0.206,0.341,6.73146172254781e-156,-0.135
Nipbl,1.39746033680892e-195,-0.720026321027456,0.15,0.286,2.29826326991595e-191,-0.136
Srrm2,7.69982352004854e-221,-0.904439623837623,0.122,0.258,1.26631297610718e-216,-0.136
Taok3,2.3688526336085e-203,-0.794465791126523,0.145,0.282,3.89581504123255e-199,-0.137
Pde8b,6.59706242495301e-201,-0.811938516775594,0.165,0.302,1.08495288640777e-196,-0.137
Smarcc2,2.84681009815769e-142,-0.403468943732677,0.226,0.363,4.68186388743014e-138,-0.137
Phc2,1.53269816835031e-203,-0.751428729617301,0.138,0.275,2.52067540766892e-199,-0.137
Camk2d,9.48522077947452e-130,-0.414079323102587,0.342,0.48,1.55993940939238e-125,-0.138
Tnks2,1.50863108635827e-186,-0.633647709000218,0.166,0.304,2.48109468462482e-182,-0.138
Cux1,4.82725967570326e-224,-0.830431159623619,0.117,0.255,7.93891126266158e-220,-0.138
Grtp1,1.30560897818747e-199,-0.823412941750373,0.185,0.323,2.14720452552711e-195,-0.138
Ctnnb1,5.65556947650476e-201,-0.782525212064495,0.154,0.294,9.30114956105973e-197,-0.14
Pfkfb2,6.16275111353286e-200,-0.683759107541673,0.331,0.472,1.01352604813161e-195,-0.141
Rassf8,1.36796481709108e-246,-1.00139312064254,0.11,0.251,2.249754938188e-242,-0.141
Rogdi,7.59709915537259e-242,-0.969690468221186,0.111,0.252,1.24941892709258e-237,-0.141
Igsf11,7.93878932284375e-238,-1.01093873287711,0.122,0.263,1.30561329203488e-233,-0.141
Pias3,2.0849044031275e-203,-0.761116015601871,0.173,0.314,3.42883378138349e-199,-0.141
Mta2,1.15525961444812e-177,-0.589697317533251,0.2,0.341,1.89993996192139e-173,-0.141
Gns,3.4953378722005e-239,-1.12338781098897,0.14,0.282,5.74843266462095e-235,-0.142
Ppp1r9a,3.75467258772023e-206,-0.738601985511372,0.156,0.298,6.17493453776468e-202,-0.142
Dgkd,2.08317956230595e-225,-0.98890463872675,0.139,0.281,3.42599710816837e-221,-0.142
Ubr3,5.5685456653378e-223,-0.819299355677618,0.135,0.277,9.15803020121455e-219,-0.142
Ube2d2a,2.38713805124609e-184,-0.571586829019343,0.174,0.316,3.92588723907932e-180,-0.142
Gnas,1.29287802357943e-252,-1.25550249051063,0.121,0.264,2.12626719757873e-248,-0.143
Plch2,1.54314808866122e-211,-0.682827524985012,0.326,0.47,2.53786134661223e-207,-0.144
Ube3a,3.38400985387284e-255,-0.982651273377126,0.107,0.251,5.56534260567927e-251,-0.144
Aak1,6.44245081689274e-253,-1.02340938991557,0.116,0.261,1.05952546134618e-248,-0.145
Mtch1,3.00593114567783e-225,-0.944381369786723,0.173,0.318,4.94355436218176e-221,-0.145
Cul5,5.38521585053755e-236,-0.895006249146741,0.137,0.283,8.85652598779405e-232,-0.146
Cd81,8.29451196150695e-238,-1.11617222501004,0.231,0.377,1.36411543718943e-233,-0.146
Pabpn1,2.70678463558896e-217,-0.751485973502271,0.155,0.301,4.4515780116896e-213,-0.146
Ankrd33b,4.79569364692571e-208,-0.778255610775311,0.219,0.365,7.88699777173402e-204,-0.146
Ep300,2.47693780794467e-263,-1.01322175393202,0.107,0.255,4.0735719189458e-259,-0.148
Adnp,5.83981626907613e-205,-0.645634609031844,0.175,0.323,9.6041618361226e-201,-0.148
Fryl,1.83299064340831e-157,-0.475284929662647,0.31,0.458,3.01453641214931e-153,-0.148
Tra2a,5.36089740477508e-227,-0.768499234293648,0.156,0.306,8.81653187189309e-223,-0.15
Kdm3b,8.24364872867118e-215,-0.737052029464626,0.18,0.33,1.35575046991726e-210,-0.15
Lpcat1,9.4148947758933e-214,-0.688186486797407,0.173,0.323,1.54837359484341e-209,-0.15
Tmx1,3.07226697529637e-208,-0.638741493619865,0.172,0.322,5.05265026757242e-204,-0.15
Wdr26,2.24569169038354e-241,-0.852073960733722,0.136,0.287,3.69326455400477e-237,-0.151
Eif4a2,3.97816488753924e-137,-0.332022569217292,0.279,0.43,6.54248997404703e-133,-0.151
Baz2b,9.27936300336675e-291,-1.20920341169995,0.101,0.252,1.5260840395337e-286,-0.151
Agtpbp1,1.30674145818586e-239,-1.04603336233323,0.257,0.409,2.14906700213246e-235,-0.152
Fus,2.03487339242836e-244,-0.874825744362841,0.145,0.297,3.34655278118769e-240,-0.152
Slc16a1,4.78812249643697e-276,-1.36568576338649,0.248,0.4,7.87454625764024e-272,-0.152
Med13l,1.80691171521673e-262,-0.995879799122511,0.125,0.277,2.97164700684543e-258,-0.152
Nsd3,2.29461156235747e-261,-0.917352679476349,0.119,0.271,3.7737181754531e-257,-0.152
Bmpr1a,3.44847694661235e-279,-1.01894887770525,0.114,0.268,5.67136518639868e-275,-0.154
Arl6ip1,0,-1.88420718134444,0.131,0.286,0,-0.155
Gtf2f2,1.15263763575389e-299,-1.23360060512563,0.099,0.254,1.89562785576086e-295,-0.155
Acsl6,3.82097757652648e-167,-0.469496366877789,0.299,0.454,6.28397972235546e-163,-0.155
Cul1,1.07408131415553e-258,-0.865947237459054,0.135,0.291,1.76643412926019e-254,-0.156
Slc4a7,3.16360905403391e-239,-0.834587768481325,0.198,0.354,5.20287145026417e-235,-0.156
Slc12a6,3.4878895884711e-304,-1.20022049528903,0.099,0.255,5.73618321719958e-300,-0.156
Ankrd12,1.57473119902108e-295,-1.14428520150599,0.113,0.271,2.58980292991007e-291,-0.158
Slc16a6,1.3572430356122e-287,-1.08471200310718,0.121,0.279,2.23212189636783e-283,-0.158
Bbs9,1.42719922262395e-245,-0.845095469599702,0.204,0.363,2.34717184152735e-241,-0.159
Dyrk2,4.80419076520625e-258,-0.902996866419255,0.174,0.333,7.9009721324582e-254,-0.159
Ctsd,0,-2.75181039685386,0.124,0.284,0,-0.16
Ctsl,0,-1.75848251653585,0.095,0.256,0,-0.161
Kmt2d,5.84956621226626e-241,-0.754411691294808,0.182,0.344,9.6201965926931e-237,-0.162
Cpsf6,0,-1.15955003016757,0.102,0.264,0,-0.162
Klhl18,6.52817761794999e-265,-0.908720005148147,0.175,0.337,1.07362409104806e-260,-0.162
Glmn,4.1195450879101e-291,-1.04914292223314,0.144,0.308,6.77500385157695e-287,-0.164
Zfp654,0,-1.21424293522498,0.11,0.274,0,-0.164
Pitpnm3,0,-0.90834637108022,0.325,0.49,0,-0.165
Whrn,0,-1.39790912535174,0.096,0.263,0,-0.167
Dscaml1,0,-1.12981877185764,0.137,0.305,0,-0.168
Ppef2,1.92838475504859e-306,-1.10610793756255,0.148,0.316,3.17142156815291e-302,-0.168
Kif1a,2.37728701907768e-277,-0.890378187684561,0.165,0.333,3.90968623157515e-273,-0.168
Wdr17,5.06211584754488e-289,-0.867000291649588,0.29,0.458,8.32515572287232e-285,-0.168
Celf2,0,-1.05073938866612,0.127,0.296,0,-0.169
Mdm1,5.47879761638901e-279,-0.889416224179649,0.229,0.398,9.01043055991336e-275,-0.169
