_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.3,GO:1990000,amyloid fibril formation,M1,1,0
1,-2.9,GO:0090331,negative regulation of platelet aggregation,M1,1,0
1,-5.4,R-MMU-2046104,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,M1,1,0
1,-3,GO:0070972,protein localization to endoplasmic reticulum,M1,1,0
1,-2.2,GO:0021761,limbic system development,M1,1,0
1,-3.7,GO:0043524,negative regulation of neuron apoptotic process,M1,1,0
1,-3.8,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-2.4,R-MMU-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic,M1,1,0
1,-3.4,GO:0043409,negative regulation of MAPK cascade,M1,1,0
1,-2.3,R-MMU-936837,Ion transport by P-type ATPases,M1,1,0
1,-5,GO:0050678,regulation of epithelial cell proliferation,M1,1,0
1,-3.1,GO:0042026,protein refolding,M1,1,0
1,-2.1,GO:0048705,skeletal system morphogenesis,M1,1,0
1,-5.1,GO:0045229,external encapsulating structure organization,M1,1,0
1,-2.8,GO:0006897,endocytosis,M1,1,0
1,-11,GO:0042773,ATP synthesis coupled electron transport,M1,1,0
1,-2.4,mmu00510,N-Glycan biosynthesis - Mus musculus (house mouse),M1,1,0
1,-2.9,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,M1,1,0
1,-2.3,GO:0042692,muscle cell differentiation,M1,1,0
1,-3.6,GO:0097191,extrinsic apoptotic signaling pathway,M1,1,0
1,-2,GO:0014020,primary neural tube formation,M1,1,0
1,-4.3,GO:0040017,positive regulation of locomotion,M1,1,0
1,-8.7,GO:0051651,maintenance of location in cell,M1,1,0
1,-4.5,GO:0046394,carboxylic acid biosynthetic process,M1,1,0
1,-3.6,GO:0031344,regulation of cell projection organization,M1,1,0
1,-3.6,GO:0010544,negative regulation of platelet activation,M1,1,0
1,-2.7,GO:0048260,positive regulation of receptor-mediated endocytosis,M1,1,0
1,-5,GO:0006665,sphingolipid metabolic process,M1,1,0
1,-3.4,GO:0090101,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,M1,1,0
1,-2.9,GO:0071214,cellular response to abiotic stimulus,M1,1,0
1,-2.2,GO:0009416,response to light stimulus,M1,1,0
1,-4.4,GO:0003401,axis elongation,M1,1,0
1,-2.5,WP730,Glutathione and one carbon metabolism,M1,1,0
1,-2.3,GO:0044550,secondary metabolite biosynthetic process,M1,1,0
1,-3.9,GO:0044248,cellular catabolic process,M1,1,0
1,-2.2,GO:0032970,regulation of actin filament-based process,M1,1,0
1,-4.5,GO:0030335,positive regulation of cell migration,M1,1,0
1,-2,GO:0009062,fatty acid catabolic process,M1,1,0
1,-2.2,GO:0007162,negative regulation of cell adhesion,M1,1,0
1,-3.2,GO:0043407,negative regulation of MAP kinase activity,M1,1,0
1,-2.1,GO:0071295,cellular response to vitamin,M1,1,0
1,-2.4,R-MMU-9865881,Complex III assembly,M1,1,0
1,-2.8,GO:1904018,positive regulation of vasculature development,M1,1,0
1,-16,GO:0009060,aerobic respiration,M1,1,0
1,-3.2,GO:0085029,extracellular matrix assembly,M1,1,0
1,-2.6,GO:0046395,carboxylic acid catabolic process,M1,1,0
1,-3.4,GO:0061718,glucose catabolic process to pyruvate,M1,1,0
1,-5.1,GO:0006633,fatty acid biosynthetic process,M1,1,0
