"logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR"
1.34471669881592,11.5360737585003,6.17799028445951,0.0133552107170513,0.0327963402418727,129,0.0300731464704506
1.17905511597557,11.2361853893003,6.06782365872763,0.0141998799665138,0.0346512794151405,347,0.0317821570847999
1.10990868304577,11.1780699270776,6.02231710338195,0.0145647261862077,0.0353194610015537,308,0.0324447071302135
-1.18993302030377,11.6940260850327,5.93930262548495,0.015255470507483,0.036764736378282,180,0.0337904976168464
1.14616964861162,12.0027419486425,5.90591943336732,0.0155427186326079,0.037225770552172,102,0.0342796148648874
1.21638292726841,11.3294172050209,5.89057355638,0.0156766355294915,0.0373161631008755,193,0.0344328819549271
0.4878549127334,12.7914112773165,5.86070534944105,0.0159407176677797,0.0377134052140155,67,0.0347481383803173
1.25567404114125,11.8483796836689,5.77763029818265,0.0166997279744655,0.0392696633581371,382,0.0360943064424678
-1.1615531728543,11.6477892546147,5.76140045496902,0.0168523300637122,0.0393897835224116,159,0.0361450241344131
-1.1617290528525,11.688724153165,5.68380579306125,0.0176021411767681,0.0406525641463454,20,0.0374953144331463
-1.06869582841795,11.2414595884208,5.68818726273436,0.0175588948829681,0.0406525641463454,56,0.0374953144331463
-1.18140101830212,11.598538631255,5.61678090270433,0.0182776371263413,0.0419628592013042,109,0.0386807263489682
1.15681770818807,11.2939799260647,5.60544523399391,0.0183945128834271,0.0419827705809982,273,0.0387474818606479
1.01421645569588,11.1314332149504,5.58645278121705,0.0185920741531602,0.0421855249791004,386,0.0390004337410854
-1.10086925689052,11.3097305482961,5.54035762681843,0.019080769917344,0.0430426670228457,264,0.03984890095722
1.19900179411713,11.6044864303511,5.50052601351517,0.0195137948217392,0.0437650427215886,145,0.0405856212897766
-0.396417500752693,12.9375567840173,5.72509767682346,0.020183105093131,0.0450060044605451,3,0.0417177342261487
-1.15344573658537,11.620496689314,5.31145546084981,0.0217129370316689,0.0481406832473573,147,0.0446405373519302
-1.02140693444258,12.0479187940364,5.23958288175398,0.022615164752101,0.0498561586580409,12,0.0461382572601612
1.04084185803877,10.9982734683694,5.14194449389363,0.0239037887514572,0.0523992657376577,132,0.0484560211327141
1.57511221158305,10.6917481495084,5.1207799044661,0.0241930674436766,0.0527354503828456,225,0.0488241445437773
-1.03050576250699,12.0082846862455,4.987569640124,0.026099576668873,0.0565733840643727,366,0.0522836115266266
0.986497493336682,11.1832663666273,4.97260347876604,0.0263233578509775,0.0567414602565515,1,0.0523799960358268
1.13545277902083,11.8880012218971,4.96040270904976,0.0265072709829071,0.0568222162506516,48,0.052560052973493
-1.11715556679108,11.4575827017661,4.83660816198367,0.0284510294580142,0.0606538430203818,305,0.0561089176988574
0.683559930530434,12.4153644864194,4.76150696202601,0.0297023216933284,0.0629754143006088,21,0.0583460349460818
-1.07218111021569,11.8213135912879,4.71049372096955,0.0305850099841102,0.0644944775751888,148,0.059719887640931
-1.0785409377788,11.5688158080712,4.65689451708681,0.0315420877525125,0.0661531353944587,2,0.0612381943257534
1.55911154226124,10.6312738269986,4.59267162456555,0.0327303425516998,0.0682761984411803,311,0.0632152848856102
-1.04177399778799,11.6932818881121,4.45722487348726,0.0353929678007765,0.073435676506424,228,0.0680034913654352
2.47283139631174,10.2044591882125,4.43214075019743,0.0359105454794767,0.0741132534363668,365,0.0688045226717292
-0.968791878982195,11.9764859225739,4.39293846444718,0.0367354229757763,0.075414519124874,35,0.0698303185501128
0.99980339401444,11.3113002162542,4.18628116599339,0.0414260489499549,0.0845963525925395,355,0.0784721584400858
-1.10251581937903,10.820587643954,4.11952203902488,0.0430730242990295,0.0874911972713142,290,0.081161185159789
-0.964178035944001,10.9381826033836,4.11074628469568,0.0432946130827122,0.0874911972713142,285,0.0813096485164068
-0.995192936029519,11.6825293721587,3.98665111579549,0.0465603455468023,0.0936031817210326,236,0.0868131107998374
-1.02307687149642,11.4954924416239,3.95507070801324,0.0474323588035248,0.0943165663731175,50,0.0874339642358147
2.02991298583695,10.3387338402076,3.96104406804916,0.047266102831585,0.0943165663731175,204,0.0874339642358147
-0.957893145927679,11.6279882692264,3.93745965691842,0.047926140743454,0.0943165663731175,218,0.0874339642358147
0.869306380757287,11.1766945006756,3.94716765920907,0.0476532760714208,0.0943165663731175,323,0.0874339642358147
1.59676815734866,10.5316890568076,3.91662005082314,0.0485174903490005,0.0943165663731175,229,0.0876781464179729
1.9302392699288,10.35278569815,3.91314717816147,0.0486167867902668,0.0943165663731175,243,0.0876781464179729
0.97867824275403,11.2778787840957,3.91744890774828,0.0484938234444745,0.0943165663731175,337,0.0876781464179729
1.33328140209999,10.6890127597236,3.90319068220557,0.0489026590538943,0.094399162750801,370,0.0880122993941043
1.09599681920354,10.8262964750677,3.80388984543865,0.0518533641177345,0.0981419769642976,122,0.0912349304076784
1.01966262694959,11.3710386190117,3.81419258260943,0.0515386144383676,0.0981419769642976,256,0.0912349304076784
0.918648919228694,10.9843813266353,3.82029215462724,0.0513532286668343,0.0981419769642976,309,0.0912349304076784
-0.892950645560142,11.2818040835375,3.80995487254103,0.051667830542148,0.0981419769642976,346,0.0912349304076784
-0.941607400086644,11.6203903684046,3.75858158843313,0.0532619748905701,0.100318671153113,279,0.0933659789763062
-0.962856921108582,11.5547326293691,3.67587154887204,0.0559394103300418,0.104852614531673,54,0.0974966559276623
-0.809898735831562,12.0936444026814,3.60735411945283,0.0582659742107648,0.108688451893157,140,0.10096038248295
1.66577180600352,10.4350334581824,3.53997384486698,0.0606548443855878,0.112603251778029,348,0.104800330834526
-0.881771481813569,10.9399202693366,3.52523051257233,0.0611913674318289,0.113058336016903,373,0.105349196334319
0.99131355512728,11.4940215558822,3.49926708768047,0.0621485711386139,0.114282680577167,46,0.106464411275688
-0.758649899987903,11.1186336783503,3.47187138062376,0.0631759668545285,0.115623939337533,297,0.10769012604655
1.07466237507452,10.7812261563473,3.2521758848324,0.0721043351112805,0.131344986024304,286,0.122677122030157
-0.885791258582436,11.3914855810601,3.22046061397451,0.0735014593838734,0.133112654698698,342,0.124684012921302
-0.825626223846687,10.9630276767812,3.21464321862723,0.07376087824799,0.133112654698698,231,0.124834727961988
0.86749635809222,10.9525856441621,3.09249049132151,0.0794426555604489,0.142702547951177,25,0.133695975916649
-0.857268395557329,11.8303566656651,3.06691973629869,0.0806908977700537,0.14361499236138,138,0.134709455013505
0.903559748867712,11.5532258222717,3.06803189599854,0.0806361681843485,0.14361499236138,163,0.134709455013505
-0.701782572492236,11.1046647702416,3.04761429915843,0.0816473580968762,0.144653766856566,134,0.13583175983078
-0.850191718362153,11.7578120399651,3.01499583231068,0.0832914156829321,0.146895769477171,126,0.138088841858844
0.855200192441098,11.8990933785663,2.96290030034124,0.0859921073932599,0.15097256863613,82,0.142094785270996
0.738875481833643,11.1689340129219,2.91351828975806,0.0886401278992688,0.154920583896019,42,0.145559576804395
-0.82757132190159,11.7848307210459,2.86625890648535,0.0912575943913038,0.158182502769192,80,0.149055579367675
0.886147507908568,11.430580489735,2.86511725958992,0.0913218572688117,0.158182502769192,287,0.149055579367675
-0.831523292854081,11.6451990220305,2.82425488413255,0.0936547981904417,0.161502496435073,351,0.151877565532491
-0.841709745781866,11.4395719963507,2.73762806940457,0.0988188092170056,0.169653530868134,84,0.159275402737911
-0.677293581395498,11.0455834887923,2.71495813950438,0.100221112008329,0.171303046075911,29,0.161051564851806
-0.770999564353728,11.324391776088,2.68848000783148,0.101886670003909,0.173386087550513,8,0.1629652143073
-0.659652611105756,11.1221983648186,2.66475639556214,0.103404789074562,0.175201127340306,276,0.164971994562644
1.16860214301802,10.612928274881,2.59886373077475,0.107753436994607,0.181775363277859,105,0.171046801751453
0.786681717286558,11.9162989419455,2.57831804167512,0.10915025867073,0.183259630592052,165,0.172738708891748
0.85223170182403,11.5064909119706,2.57208549767326,0.109577923446794,0.183259630592052,91,0.172857931538981
-1.47320563102596,10.261092876165,2.5250049071441,0.112868915406281,0.187953387028484,151,0.177535791292475
-0.730222636232317,11.2854347684622,2.5177418276091,0.113386270200445,0.188008003580225,328,0.177900334154748
0.715220966592979,11.2426809612029,2.44636593234908,0.11861251423167,0.195836832008034,119,0.185382963595279
