"GeneID","logFC_1","adj.P.Val_1","logFC_2","adj.P.Val_2","logFC_3","adj.P.Val_3","logFC_4","adj.P.Val_4","logFC_5","adj.P.Val_5","logFC_6","adj.P.Val_6","logFC_7","adj.P.Val_7"
"Agpat5",0.212533892727092,0.998454033907698,-0.0272469040355032,0.999215727032816,-0.277833788822014,0.396881480610404,0.359305039590755,0.351473353355821,0.550603061681854,0.0963988383230501,-0.617930024984526,0.00226972477806678,-0.476031320100113,0.155704565370592
"Agrn",0.0840647579039249,0.998454033907698,-0.397085865012382,0.999215727032816,-0.088422307634914,0.883167604909576,-0.400160283283828,0.579998845427087,0.352953412590514,0.468116014620761,-0.577334979825705,0.0779740153654665,1.83772211994568,8.57474923754785e-08
"Agtpbp1",-0.146549545895744,0.998454033907698,-0.67595122618541,0.999215727032816,0.102256950519237,0.928265928336723,-0.43628587568955,0.862063588689561,1.05194796503647,0.196052155311325,-1.52483101076787,0.0045647459480613,2.87844403125507,3.1187721710811e-05
"Ahdc1",0.187382718563696,0.94128116945861,-0.0503296483357021,0.999215727032816,-0.0259811893445484,0.899584512324766,0.0240540475504462,0.99429389708379,0.112947095444112,0.496824943139587,-0.39095988044125,7.94661028076588e-06,0.198892112204096,0.245951877774647
"Ahr",0.0949712841287914,0.998454033907698,-0.0789627027304916,0.999215727032816,-0.166861237308118,0.614502184443954,0.0553283989249735,0.99429389708379,0.461394471973049,0.126478851762202,-0.765022408574152,1.32043410615218e-05,0.62997151605788,0.0334533448511029
"Ahrr",-0.0143743697325427,0.998454033907698,0.00314762763112114,0.999215727032816,-0.029993821428894,0.66423772332561,0.00423074894962444,0.99429389708379,0.134558203710667,0.0219512799257035,-0.126612547398847,0.000984951876444503,0.0368741730380411,0.602090344875009
"Ahsa2",-0.0653518473535775,0.998454033907698,-0.0226485942964303,0.999215727032816,0.0353818402448971,0.860194319195658,-0.053551533680432,0.966409445830831,0.278350981725634,0.0823998175398345,-0.294647407595396,0.00309423839639086,0.195838345143944,0.240389857426315
"Aida",0.0696179726648847,0.998454033907698,-0.0284135575606553,0.999215727032816,-0.0624016677941319,0.483099451284378,0.0694817624270693,0.608307399487073,0.121954116638007,0.148462460028206,-0.0671145915109458,0.258756544111348,-0.206388759855759,0.0127890875278076
"Aifm2",-0.0385940838556768,0.998454033907698,0.0293291360875905,0.999215727032816,0.019089686143658,0.855689287436835,-0.022542259975754,0.985437885648718,0.0422862901724988,0.628727311705398,-0.150761084022267,0.00478101195033038,0.206874464860468,0.00772853337378798
"Aimp2",0.0501516687458438,0.998454033907698,-0.0444794686661698,0.999215727032816,-0.0242252368627762,0.754003345411769,0.0413773343402022,0.770537182587806,0.108999566804033,0.109054537534618,-0.124372685293256,0.00203175986996745,-0.0323660356819438,0.659143715910999
"Aip",0.294138262611651,0.196929756673167,-0.0610231008594277,0.999215727032816,-0.344471417036896,0.0179565820084687,0.140067477977451,0.548938385702873,-0.0168289872113327,0.943146624647322,0.053846905516664,0.629925099226956,-0.148789525205081,0.397547399599209
"Ak4",-0.00609395472059826,0.998454033907698,0.0923909561875458,0.999215727032816,-0.144310064285431,0.105864943902194,0.0970825317093295,0.478504907240373,0.131536537362429,0.18886145605407,-0.0795826656889229,0.266702673120758,-0.189691710257728,0.062347477619934
"Akap17b",0.0328517241479057,0.998454033907698,-0.00456240151937156,0.999215727032816,-0.000561218492364467,0.994381982269936,0.00444695553048612,0.99429389708379,-0.0482842204947017,0.506576670694603,-0.0585467632793684,0.231623915934483,0.128321017360377,0.066396947079055
