_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.5,R-MMU-2022090,Assembly of collagen fibrils and other multimeric structures,M1,1,0
1,-3.3,GO:0034638,phosphatidylcholine catabolic process,M1,1,0
1,-4.3,GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,M1,1,0
1,-3.3,R-MMU-9013405,RHOD GTPase cycle,M1,1,0
1,-2.2,GO:0070372,regulation of ERK1 and ERK2 cascade,M1,1,0
1,-4.1,GO:0006735,NADH regeneration,M1,1,0
1,-4.1,GO:0045936,negative regulation of phosphate metabolic process,M1,1,0
1,-3.2,GO:0034374,low-density lipoprotein particle remodeling,M1,1,0
1,-3.3,GO:0062013,positive regulation of small molecule metabolic process,M1,1,0
1,-3.9,R-MMU-202733,Cell surface interactions at the vascular wall,M1,1,0
1,-3.6,GO:0030811,regulation of nucleotide catabolic process,M1,1,0
1,-2.8,GO:0051893,regulation of focal adhesion assembly,M1,1,0
1,-2.6,mmu05132,Salmonella infection - Mus musculus (house mouse),M1,1,0
1,-3.6,GO:1903035,negative regulation of response to wounding,M1,1,0
1,-4.7,GO:0048660,regulation of smooth muscle cell proliferation,M1,1,0
1,-2.3,GO:0048598,embryonic morphogenesis,M1,1,0
1,-2.1,R-MMU-5663220,RHO GTPases Activate Formins,M1,1,0
1,-2.9,GO:0014003,oligodendrocyte development,M1,1,0
1,-2.4,GO:1904705,regulation of vascular associated smooth muscle cell proliferation,M1,1,0
1,-4.7,GO:0009137,purine nucleoside diphosphate catabolic process,M1,1,0
1,-4.9,GO:0034249,negative regulation of amide metabolic process,M1,1,0
1,-4.9,GO:0046032,ADP catabolic process,M1,1,0
1,-2.9,mmu04919,Thyroid hormone signaling pathway - Mus musculus (house mouse),M1,1,0
1,-3.9,GO:0060251,regulation of glial cell proliferation,M1,1,0
1,-5.3,GO:0050770,regulation of axonogenesis,M1,1,0
1,-2,GO:0001501,skeletal system development,M1,1,0
1,-2.5,GO:0006469,negative regulation of protein kinase activity,M1,1,0
1,-2.3,GO:0008037,cell recognition,M1,1,0
1,-2.4,R-MMU-421270,Cell-cell junction organization,M1,1,0
1,-2,WP662,Amino acid metabolism,M1,1,0
1,-3.2,GO:0043408,regulation of MAPK cascade,M1,1,0
1,-2.1,GO:2000177,regulation of neural precursor cell proliferation,M1,1,0
1,-2.9,GO:0048661,positive regulation of smooth muscle cell proliferation,M1,1,0
1,-2.9,GO:0043410,positive regulation of MAPK cascade,M1,1,0
1,-2.6,GO:0006935,chemotaxis,M1,1,0
1,-2.3,GO:1902307,positive regulation of sodium ion transmembrane transport,M1,1,0
1,-4.8,R-MMU-210991,Basigin interactions,M1,1,0
1,-2.1,mmu04010,MAPK signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.1,mmu05200,Pathways in cancer - Mus musculus (house mouse),M1,1,0
1,-2,GO:0010875,positive regulation of cholesterol efflux,M1,1,0
1,-4.1,GO:0061621,canonical glycolysis,M1,1,0
1,-2.7,R-MMU-201556,Signaling by ALK,M1,1,0
1,-3.7,R-MMU-76005,Response to elevated platelet cytosolic Ca2+,M1,1,0
1,-2,GO:0046628,positive regulation of insulin receptor signaling pathway,M1,1,0
1,-2.8,GO:0010827,regulation of D-glucose transmembrane transport,M1,1,0
1,-3,R-MMU-1650814,Collagen biosynthesis and modifying enzymes,M1,1,0
1,-2.6,GO:0030307,positive regulation of cell growth,M1,1,0
