Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:1902306,negative regulation of sodium ion transmembrane transport,19_GO:0051179 localization,-4.9,26,9.8,21160,10,330,4,1.2,0.6,11603|53416|83814|108058,Agrn|Stk39|Nedd4l|Camk2d,-2.4,hits
GO Biological Processes,19,GO:0042462,eye photoreceptor cell development,19_GO:0032502 developmental process,-4.9,9,7.1,21160,50,330,7,2.1,0.79,14685|14699|15165|18185|22157|225998|238021,Gnat1|Gngt1|Hcn1|Nrl|Tulp1|Rorb|Fscn2,-2.4,hits
Reactome Gene Sets,6,R-MMU-1483206,Glycerophospholipid biosynthesis,,-4.9,5.6,6.2,21160,115,330,10,3,0.94,14245|18779|28169|52123|74596|99138|100434|114874|226856|237542,Lpin1|Pla2r1|Agpat3|Agpat5|Cds1|Stard7|Slc44a1|Ddhd1|Lpgat1|Osbpl8,-2.4,hits
GO Biological Processes,19,GO:0048593,camera-type eye morphogenesis,19_GO:0032502 developmental process,-4.9,4.6,5.9,21160,168,330,12,3.6,1,14685|15165|17684|18185|19126|19881|20147|20848|24013|56297|224224|225998,Gnat1|Hcn1|Cited2|Nrl|Prom1|Rom1|Rs1|Stat3|Grk1|Arl6|Impg2|Rorb,-2.4,hits
GO Biological Processes,19,GO:0061620,glycolytic process through glucose-6-phosphate,19_GO:0009987 cellular process,-4.8,15,8.2,21160,21,330,5,1.5,0.67,15275|17425|18641|21991|56421,Hk1|Foxk1|Pfkl|Tpi1|Pfkp,-2.3,hits
KEGG Pathway,24,mmu00051,Fructose and mannose metabolism - Mus musculus (house mouse),,-4.7,11,7.3,21160,36,330,6,1.8,0.74,15275|15277|18640|18641|21991|56421,Hk1|Hk2|Pfkfb2|Pfkl|Tpi1|Pfkp,-2.3,hits
GO Biological Processes,19,GO:0006096,glycolytic process,19_GO:0009987 cellular process,-4.7,8.3,6.8,21160,54,330,7,2.1,0.79,15275|15277|17425|18640|18641|21991|56421,Hk1|Hk2|Foxk1|Pfkfb2|Pfkl|Tpi1|Pfkp,-2.2,hits
GO Biological Processes,19,GO:0019677,NAD catabolic process,19_GO:0009987 cellular process,-4.6,14,7.8,21160,23,330,5,1.5,0.67,15275|17425|18641|21991|56421,Hk1|Foxk1|Pfkl|Tpi1|Pfkp,-2.2,hits
GO Biological Processes,19,GO:0061615,glycolytic process through fructose-6-phosphate,19_GO:0009987 cellular process,-4.6,14,7.8,21160,23,330,5,1.5,0.67,15275|17425|18641|21991|56421,Hk1|Foxk1|Pfkl|Tpi1|Pfkp,-2.2,hits
Reactome Gene Sets,6,R-MMU-70171,Glycolysis,,-4.4,7.5,6.3,21160,60,330,7,2.1,0.79,15275|15277|18640|18641|19386|21991|56421,Hk1|Hk2|Pfkfb2|Pfkl|Ranbp2|Tpi1|Pfkp,-2,hits
