Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,Reactome Gene Sets,6,R-MMU-9009391,Extra-nuclear estrogen signaling,,-3.2,18,6.9,21160,66,54,3,5.6,3.1,12315|14695|18709,Calm3|Gnb3|Pik3r2,-1
hits,KEGG Pathway,24,mmu05012,Parkinson disease - Mus musculus (house mouse),,-3.2,7.2,5.2,21160,274,54,5,9.3,3.9,11911|12315|22272|50868|227613,Atf4|Calm3|Uqcrq|Keap1|Tubb4b,-0.99
hits,GO Biological Processes,19,GO:1900180,regulation of protein localization to nucleus,19_GO:0051179 localization,-3.1,9.5,5.5,21160,165,54,4,7.4,3.6,15516|16451|18148|18709,Hsp90ab1|Jak1|Npm1|Pik3r2,-0.9
hits,Reactome Gene Sets,6,R-MMU-74752,Signaling by Insulin receptor,,-3,16,6.5,21160,74,54,3,5.6,3.1,14173|18709|66144,Fgf2|Pik3r2|Atp6v1f,-0.87
hits,Reactome Gene Sets,6,R-MMU-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,,-3,16,6.5,21160,74,54,3,5.6,3.1,15516|18709|76884,Hsp90ab1|Pik3r2|Cyfip2,-0.87
hits,Reactome Gene Sets,6,R-MMU-1280215,Cytokine Signaling in Immune system,,-3,5.3,4.6,21160,444,54,6,11,4.3,15511|18148|18709|22608|193740|227613,Hspa1b|Npm1|Pik3r2|Ybx1|Hspa1a|Tubb4b,-0.87
hits,GO Biological Processes,19,GO:2000058,regulation of ubiquitin-dependent protein catabolic process,19_GO:0050789 regulation of biological process,-3,9.2,5.4,21160,170,54,4,7.4,3.6,15511|15516|70369|193740,Hspa1b|Hsp90ab1|Bag5|Hspa1a,-0.86
hits,WikiPathways,27,WP450,IL 2 signaling pathway,,-3,15,6.4,21160,76,54,3,5.6,3.1,16451|18709|22608,Jak1|Pik3r2|Ybx1,-0.85
hits,KEGG Pathway,24,mmu04010,MAPK signaling pathway - Mus musculus (house mouse),,-3,6.6,4.9,21160,299,54,5,9.3,3.9,11911|14173|15511|20807|193740,Atf4|Fgf2|Hspa1b|Srf|Hspa1a,-0.85
hits,GO Biological Processes,19,GO:0009266,response to temperature stimulus,19_GO:0050896 response to stimulus,-3,9,5.3,21160,175,54,4,7.4,3.6,15511|15516|81489|193740,Hspa1b|Hsp90ab1|Dnajb1|Hspa1a,-0.83
hits,GO Biological Processes,19,GO:0001558,regulation of cell growth,19_GO:0040007 growth,-3,5.2,4.5,21160,456,54,6,11,4.3,15511|18148|20807|70925|76500|193740,Hspa1b|Npm1|Srf|Cdkn2aip|Ip6k2|Hspa1a,-0.83
hits,WikiPathways,27,WP310,mRNA processing,,-3,5.2,4.5,21160,456,54,6,11,4.3,18148|20638|22608|50926|66585|76938,Npm1|Snrpb|Ybx1|Hnrnpdl|Snrnp40|Rbm17,-0.83
hits,Reactome Gene Sets,6,R-MMU-1280218,Adaptive Immune System,,-3,4.3,4.3,21160,636,54,7,13,4.6,12315|18709|50868|69654|218215|227613|242785,Calm3|Pik3r2|Keap1|Dctn2|Rnf144b|Tubb4b|Klhl21,-0.81
hits,KEGG Pathway,24,mmu01521,EGFR tyrosine kinase inhibitor resistance - Mus musculus (house mouse),,-2.9,15,6.2,21160,80,54,3,5.6,3.1,14173|16451|18709,Fgf2|Jak1|Pik3r2,-0.81
hits,GO Biological Processes,19,GO:0051054,positive regulation of DNA metabolic process,19_GO:0048518 positive regulation of biological process,-2.9,6.2,4.7,21160,316,54,5,9.3,3.9,12301|14173|18148|21427|69714,Cacybp|Fgf2|Npm1|Vps72|Tfpt,-0.76
