gene,wt_signed_log_p,ko_signed_log_p
Cartpt,0.617896321000353,0.0796055952275616
Dact1,0.616748456383187,0.279676187659017
Meis3,0.615520338517019,-0.333697526961588
Rala,0.615452050376638,-0.49982615322619
Dvl1,0.614854377336677,-0.104341550060192
Mapk3,0.609189382780625,-0.212945352542177
Net1,0.608073046620341,-0.860797104743019
Dock2,0.607578448557288,-0.327993190309052
Agt,0.607252439788336,0.127323313553334
Vav1,0.607252439788336,0.513544008486567
Il6ra,0.606600642150847,-0.193147957181626
Tpd52l1,0.606274853273761,0.677155024855202
Ucn,0.606274853273761,-0.623171749739228
Magi3,0.604541286729455,0.426492335684972
Klf2,0.603029776331787,-0.491802850279122
S100a9,0.601735649602875,0.565763021667891
Ada,0.601077024341453,0.327993190309052
Adora3,0.601077024341453,-0.777364330577808
Cd28,0.601077024341453,0
Cd300ld3,0.601077024341453,-0.012591428580174
Cd40,0.601077024341453,0.513544008486567
Cd86,0.601077024341453,0
Crhr2,0.601077024341453,0
Frmd7,0.601077024341453,0.301334377361299
Gata3,0.601077024341453,-0.327993190309052
Gipr,0.601077024341453,-0.327993190309052
Gpr3,0.601077024341453,-1.29617974427927
Gpr37l1,0.601077024341453,-0.327993190309052
Gpr4,0.601077024341453,-0.327993190309052
Grin2c,0.601077024341453,0.513544008486567
Ifi204,0.601077024341453,-0.777364330577808
Itgb3,0.601077024341453,0
Lck,0.601077024341453,-0.777364330577808
Loxl3,0.601077024341453,0.829916215417754
Naip2,0.601077024341453,-0.327993190309052
Tnfrsf11a,0.601077024341453,0
Ilk,0.592842187531527,0.151976986251275
Ksr2,0.591139323777318,-0.137587071122371
Brd4,0.582927849991986,-0.162086428988386
Mgat5,0.581364346590703,0.545981500695764
Bmpr1a,0.570272710186707,0.208684005590693
Lamb1,0.566006431375904,-0.503741149737161
Isl1,0.555157013382853,-0.369679667263132
Ptprj,0.554271441673227,-2.09771275745514
Ikbkb,0.55306954482245,-0.524317120453029
Lef1,0.551362381389877,0.829916215417754
Cyp27b1,0.549828170176065,-2.22244751322845
Glipr2,0.549317153508564,0.302254493279426
Map2k1,0.547700338105843,-0.276314130830484
Rragc,0.546574651473822,0.100404452631955
Itga1,0.543909101740923,-0.280768499109828
Bambi,0.543796620242407,1.30838578150294
Usp9x,0.543040234711778,0.327945183371482
Nek10,0.530955774054429,0.368282447479421
Slc15a3,0.530519251151221,0.353977637832688
Cdh13,0.530082872940198,0.126702995113308
Bmpr1b,0.529428576892941,-0.012591428580174
Itgav,0.529328292381365,0.251655742126062
Nkx3-1,0.528774606329615,0.239306404087924
Ptpn22,0.526885228538894,-0.574987632476327
Ednra,0.523935390819475,0.0183771893135191
Pkd2,0.518507043213984,0.437310728058308
Flt4,0.507996354584131,-1.14589109176085
Irak1,0.505969281712651,-1.3392282549693
Ppia,0.504507101039178,0.332035611128873
Hmgb1,0.504176714349535,-1.13653759555827
Dvl3,0.492383377500224,0.242701920824639
Gnai2,0.491453108796253,-0.326006537622842
Rack1,0.490042768558249,-0.536943409062226
Cat,0.489629594075672,-0.134576077205984
Ctbp2,0.489285081178047,1.95938772333796
Dhx58,0.487873168370433,-0.0750281153060385
Ubr2,0.485994363438151,-0.0593744017510376
Park7,0.480749167078311,-0.2483219448191
Pde6h,0.47698197208155,-0.120898357903389
Pde8a,0.47142883184113,-0.274259243330688
Prdx2,0.461977840174216,0.300424209087734
Ctsh,0.46034642353319,-0.321559089665575
Axl,0.45820167815354,-0.389439208279665
Serpinf2,0.448827889398997,-1.0201541832563
Angpt1,0.448511634043672,-0.292710496841786
Rptor,0.443712740761004,0.537621415809991
Ephb2,0.441762498887256,1.00983747525278
Rfng,0.440134609515924,-0.163730074772992
Cntn6,0.436869931811178,-0.29203178202689
