p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,pct.1_pct.2,pct_method_1
0,2.52110874009895,0.754,0.284,0,c1,Tcn2,0.47,0.35438
0,2.5000033712558,0.8,0.36,0,c1,Inpp5k,0.44,0.352
0,4.03400653638938,0.621,0.058,0,c1,Bace2,0.563,0.349623
0,2.0651385206391,0.946,0.577,0,c1,Arl6ip1,0.369,0.349074
0,2.79055202128909,0.715,0.227,0,c1,Slc7a5,0.488,0.34892
0,2.3305150995849,0.669,0.152,0,c1,Serpinh1,0.517,0.345873
0,1.9164197189437,0.971,0.619,0,c1,Bsg,0.352,0.341792
0,5.01509631659582,0.605,0.041,0,c1,Fap,0.564,0.34122
0,2.77216274510804,0.728,0.269,0,c1,Spg21,0.459,0.334152
0,2.85781886260022,0.693,0.213,0,c1,Cat,0.48,0.33264
0,7.80159484668179,0.579,0.006,0,c1,Slc39a12,0.573,0.331767
0,4.84023781921667,0.6,0.051,0,c1,Iqgap2,0.549,0.3294
0,2.8666765771731,0.654,0.151,0,c1,Ltbp3,0.503,0.328962
0,2.52247233502624,0.694,0.221,0,c1,Cltb,0.473,0.328262
0,3.42329161045894,0.636,0.121,0,c1,Rab27a,0.515,0.32754
0,1.78070653859933,0.972,0.637,0,c1,Slc2a1,0.335,0.32562
0,3.3737150421311,0.629,0.113,0,c1,S100a1,0.516,0.324564
0,6.25173588062568,0.576,0.021,0,c1,Cox8b,0.555,0.31968
0,2.76559277729469,0.667,0.199,0,c1,Scpep1,0.468,0.312156
0,2.18200680233604,0.777,0.378,0,c1,Gaa,0.399,0.310023
0,3.34078497176545,0.613,0.112,0,c1,Lgals3bp,0.501,0.307113
0,4.06747818672368,0.58,0.058,0,c1,Lamb1,0.522,0.30276
0,6.96018559056809,0.556,0.012,0,c1,Ggt1,0.544,0.302464
0,6.0164508099817,0.56,0.023,0,c1,Ociad2,0.537,0.30072
0,1.62462722002805,0.957,0.646,0,c1,Slc16a1,0.311,0.297627
0,4.56612241070599,0.567,0.049,0,c1,Tes,0.518,0.293706
0,3.29702079952976,0.609,0.127,0,c1,Notch2,0.482,0.293538
0,5.16698082223011,0.557,0.031,0,c1,Bmp7,0.526,0.292982
0,2.55634559703063,0.69,0.268,0,c1,Slc20a2,0.422,0.29118
0,1.47310681440685,0.767,0.388,0,c1,Glul,0.379,0.290693
0,2.51680774507482,0.62,0.157,0,c1,Aldh2,0.463,0.28706
0,2.3616451078894,0.688,0.271,0,c1,Fads2,0.417,0.286896
0,6.62187792576734,0.539,0.012,0,c1,Krt8,0.527,0.284053
